local_id,names,count,loc,rkd,ulan,viaf,wikidata,heritage_e_number,heritage_f_number,not_assigned,oxford_dict_nat_bio,gnd
2084,George Farington,1,http://id.loc.gov/authorities/names/no2020074572,,http://vocab.getty.edu/ulan/500011538,http://viaf.org/viaf/95751269,http://www.wikidata.org/entity/Q5539186,E6088,F2716,,,https://d-nb.info/gnd/1037283627
2086,Emily Farmer,1,,,http://vocab.getty.edu/ulan/500019314,,http://www.wikidata.org/entity/Q5372160,E6089,F2717,,,
2089,Robert Farren,1,,,http://vocab.getty.edu/ulan/500078360,,http://www.wikidata.org/entity/Q21452841,E6092,F2720,,,
2097,George Fearnsmith,1,,,,,,E6101,F2729,,,
2101,Henry Charles Fehr,1,,,http://vocab.getty.edu/ulan/500188257,,http://www.wikidata.org/entity/Q5719317,E7067,F3688,,,
2102,Robert Feke,1,http://id.loc.gov/authorities/names/nr93050924,,http://vocab.getty.edu/ulan/500004317,http://viaf.org/viaf/68807630,http://www.wikidata.org/entity/Q2157088,E6104,F2732,,,https://d-nb.info/gnd/143082051
2105,Antje Fels,1,,,http://vocab.getty.edu/ulan/500375517,,,E6106,F2734,,,
2107,W. Fenoulet,1,,,http://vocab.getty.edu/ulan/500006856,,,E6108,F2736,,,
2112,William James Fergusson,1,,,,,,E6113,F2741,,,
2113,Louisa Fermor,1,,,,,,E6114,F2742,,,
2118,Nunzio Ferraiuoli,1,,,http://vocab.getty.edu/ulan/500025731,http://viaf.org/viaf/95840339,http://www.wikidata.org/entity/Q3879513,E6117,F2745,,,https://d-nb.info/gnd/1182936954
2120,George Stratton Ferrier,1,http://id.loc.gov/authorities/names/nr93032164,,http://vocab.getty.edu/ulan/500020870,,http://www.wikidata.org/entity/Q97105193,E6119,F2747,,,
2121,I. Fidlor,1,,,,,,E6122,F2750,,,
2122,Robert Field,1,http://id.loc.gov/authorities/names/n84183558,,http://vocab.getty.edu/ulan/500119517,,http://www.wikidata.org/entity/Q7344323,E6126,F2754,,,
2123,Walter Field,1,,,http://vocab.getty.edu/ulan/500004132,,http://www.wikidata.org/entity/Q16030474,E6127,F2755,,,
2131,Lady Elizabeth Finch,1,,,http://vocab.getty.edu/ulan/500020971,,,E6130,F2758,,,
2133,Thomas Finchett,1,,,,,,E6132,F2760,,,
2135,Herbert John Finn,1,,,http://vocab.getty.edu/ulan/500002398,,http://www.wikidata.org/entity/Q21453829,E6133,F2761,,,
2136,Robert Finn,1,,,,,,E6134,F2762,,,
2137,Joseph Finnemore,1,http://id.loc.gov/authorities/names/nr00003394,,http://vocab.getty.edu/ulan/500066137,,http://www.wikidata.org/entity/Q6283095,E6135,F2763,,,
2139,Alvan T. Fisher,1,http://id.loc.gov/authorities/names/nr89009197,,http://vocab.getty.edu/ulan/500012834,,http://www.wikidata.org/entity/Q3063754,E6152,F2780,,,
2141,Joel Fisher,1,http://id.loc.gov/authorities/names/n79059385,,http://vocab.getty.edu/ulan/500102226,http://viaf.org/viaf/118354380,http://www.wikidata.org/entity/Q1670948,E6143,F2771,,,https://d-nb.info/gnd/118929836
2145,Samuel Melton Fisher,1,,,http://vocab.getty.edu/ulan/500126158,http://viaf.org/viaf/121778104,http://www.wikidata.org/entity/Q21456175,E6151,F2779,,,https://d-nb.info/gnd/1038460182
2149,Walter Hood Fitch,1,http://id.loc.gov/authorities/names/n79120942,,http://vocab.getty.edu/ulan/500124398,http://viaf.org/viaf/12458289,http://www.wikidata.org/entity/Q1102060,E4892,F1600,,,https://d-nb.info/gnd/118533576
2153,Arthur Fitzpatrick,1,,,http://vocab.getty.edu/ulan/500104675,,,E6139,F2767,,,
2159,David Fleming,1,,,,,,E6155,F2783,,,
2162,Edwin Fletcher,1,,,http://vocab.getty.edu/ulan/500032899,,http://www.wikidata.org/entity/Q19984135,E6157,F2785,,,
2166,Charles Joseph Flipart,1,http://id.loc.gov/authorities/names/nr91031134,,http://vocab.getty.edu/ulan/500025408,http://viaf.org/viaf/24874715,http://www.wikidata.org/entity/Q5079612,E6163,F2791,,,https://d-nb.info/gnd/1178348814
2168,Vincenzo Foggini,1,,,http://vocab.getty.edu/ulan/500034901,http://viaf.org/viaf/5852576,http://www.wikidata.org/entity/Q4013273,E7069,F3690,,,https://d-nb.info/gnd/123920248
2171,Henry Follenfant,1,,,,,,E6167,F2795,,,
2172,A. Fontane,1,,,http://vocab.getty.edu/ulan/500191614,,,E6177,F2805,,,
2173,Frederick Foot,1,,,,,,E6178,F2806,,,
2175,Alexander Forbes,1,,,http://vocab.getty.edu/ulan/500016836,,http://www.wikidata.org/entity/Q21454531,E6192,F2820,,,
2180,F. J. Ford,1,,,http://vocab.getty.edu/ulan/500021078,,,E6179,F2807,,,
2181,Henry Justice Ford,1,http://id.loc.gov/authorities/names/n79045427,,http://vocab.getty.edu/ulan/500003944,http://viaf.org/viaf/33272397,http://www.wikidata.org/entity/Q5724147,E6180,F2808,,,https://d-nb.info/gnd/1020047186
2183,Charles Ramus Forrest,1,http://id.loc.gov/authorities/names/nr2004008341,,http://vocab.getty.edu/ulan/500139322,http://viaf.org/viaf/180911958,http://www.wikidata.org/entity/Q69686100,E6173,F2801,,,https://d-nb.info/gnd/1014953979
2187,E. Forsett,1,,,,,,E6175,F2803,,,
2193,Henrietta Anne Fortescue,1,,,http://vocab.getty.edu/ulan/500018602,,http://www.wikidata.org/entity/Q75272506,E6176,F2804,,,
2194,William Banks Fortescue,1,,,http://vocab.getty.edu/ulan/500012415,,http://www.wikidata.org/entity/Q21464249,E6171,F2799,,,
2195,Georg Fortner,1,,,http://vocab.getty.edu/ulan/500007429,http://viaf.org/viaf/95726188,http://www.wikidata.org/entity/Q55134337,E6172,F2800,,,https://d-nb.info/gnd/116676396
2197,Jesse Foster,1,,,http://vocab.getty.edu/ulan/500139424,,,E6199,F2827,,,
2198,John Foster,1,http://id.loc.gov/authorities/names/no2012094640,,http://vocab.getty.edu/ulan/500053400,,http://www.wikidata.org/entity/Q98762443,E6200,F2828,,,
2201,Paul Foster,1,,,http://vocab.getty.edu/ulan/500085490,,,E6202,F2830,,,
2205,A. W. Fowler,1,,,,,,E6187,F2815,,,
2210,Edward Fox,1,,,http://vocab.getty.edu/ulan/500000095,,http://www.wikidata.org/entity/Q20734276,E6183,F2811,,,
2212,Henry Charles Fox,1,,,http://vocab.getty.edu/ulan/500100348,,,E6185,F2813,,,
2213,Henry Joseph Fradelle,1,,,http://vocab.getty.edu/ulan/500115893,,http://www.wikidata.org/entity/Q52154696,E6205,F2833,,,
2216,Meredith Frampton,1,http://id.loc.gov/authorities/names/n83048634,,http://vocab.getty.edu/ulan/500018247,http://viaf.org/viaf/79469199,http://www.wikidata.org/entity/Q5739414,E6206,F2834,,,https://d-nb.info/gnd/122685199
2217,Charles France,1,,,http://vocab.getty.edu/ulan/500094475,,,E6210,F2838,,,
2218,Pieter Franchoys,1,,,http://vocab.getty.edu/ulan/500005670,http://viaf.org/viaf/95715450,http://www.wikidata.org/entity/Q2196790,E6209,F2837,,,https://d-nb.info/gnd/1025227832
2222,C. Francks,1,,,http://vocab.getty.edu/ulan/500093744,,,E6214,F2842,,,
2225,George Franklin,1,,,http://vocab.getty.edu/ulan/500001396,,,E4898,F1606,,,
2226,T. Franks,1,,,http://vocab.getty.edu/ulan/500139780,,,E6211,F2839,,,
2230,Francis Arthur Fraser,1,,,http://vocab.getty.edu/ulan/500011573,,http://www.wikidata.org/entity/Q25918097,E6217,F2845,,,
2232,Patrick Allan Fraser,1,http://id.loc.gov/authorities/names/no2012003406,,http://vocab.getty.edu/ulan/500021978,,http://www.wikidata.org/entity/Q15959563,E2953,F112,,,
2234,William Miller Frazer,1,http://id.loc.gov/authorities/names/no2011133482,,http://vocab.getty.edu/ulan/500016469,,http://www.wikidata.org/entity/Q21466010,E6220,F2848,,,
2235,Charles Fréchon,1,http://id.loc.gov/authorities/names/nr99007398,,http://vocab.getty.edu/ulan/500103189,http://viaf.org/viaf/32847461,http://www.wikidata.org/entity/Q2959118,E6221,F2849,,,https://d-nb.info/gnd/121225984
2238,F. C. Freeman,1,,,http://vocab.getty.edu/ulan/500139888,,,E6227,F2855,,,
2244,George Augustus Freezor,1,,,http://vocab.getty.edu/ulan/500103646,,,E6229,F2857,,,
2247,Annie French,1,http://id.loc.gov/authorities/names/nr2002043801,,http://vocab.getty.edu/ulan/500026579,http://viaf.org/viaf/95845779,http://www.wikidata.org/entity/Q18670747,E6231,F2859,,,https://d-nb.info/gnd/1167278623
2248,Charles Théodore Frère,1,,,http://vocab.getty.edu/ulan/500008507,http://viaf.org/viaf/27334540,http://www.wikidata.org/entity/Q323928,E6233,F2861,,,https://d-nb.info/gnd/12016339X
2249,Edouard Frère,1,http://id.loc.gov/authorities/names/no2021149016,,http://vocab.getty.edu/ulan/500023789,http://viaf.org/viaf/32270592,http://www.wikidata.org/entity/Q707878,E6232,F2860,,,https://d-nb.info/gnd/101400268
2250,Friceri,1,,,,,,E6234,F2862,,,
2251,Walter Frier,1,,,http://vocab.getty.edu/ulan/500028845,,http://www.wikidata.org/entity/Q97015789,E6235,F2863,,,
2261,Robert Hurrell Froude,1,,,http://vocab.getty.edu/ulan/500000368,,,E6242,F2870,,,
2262,Phillip Fruytiers,1,http://id.loc.gov/authorities/names/nr2004026315,https://rkd.nl/artists/29675,http://vocab.getty.edu/ulan/500015252,https://viaf.org/viaf/10121666,http://www.wikidata.org/entity/Q7183576,E6245,F2873,,,https://d-nb.info/gnd/1024758052
2263,Anthony Fry,1,http://id.loc.gov/authorities/names/no2002053091,,http://vocab.getty.edu/ulan/500021804,http://viaf.org/viaf/72322458,http://www.wikidata.org/entity/Q21013142,E4067,F840,,,https://d-nb.info/gnd/124262791
2267,Norah Fulcher,1,,,,,,E6244,F2872,,,
2269,Charles Francis Fuller,1,,,http://vocab.getty.edu/ulan/500054621,,http://www.wikidata.org/entity/Q40120307,E7074,F3695,,,
2272,Albert Henry Fullwood,1,http://id.loc.gov/authorities/names/n84126704,,http://vocab.getty.edu/ulan/500009998,http://viaf.org/viaf/48168288,http://www.wikidata.org/entity/Q4710452,E6250,F2878,,,https://d-nb.info/gnd/1076060501
2279,Alexander van Gaelen,1,,,http://vocab.getty.edu/ulan/500001363,,http://www.wikidata.org/entity/Q16853502,E9861,F7893,,,
2285,John Gallagher,1,,,,,,E7076,F3697,,,
2287,J. R. Galland,1,,,http://vocab.getty.edu/ulan/500140536,,,E6257,F2885,,,
2289,Robert Gallog,1,,,,,,E6258,F2886,,,
2292,John Peter Gandy,1,http://id.loc.gov/authorities/names/n00074155,,http://vocab.getty.edu/ulan/500017162,http://viaf.org/viaf/27457964,http://www.wikidata.org/entity/Q6252635,E6265,F2893,,,https://d-nb.info/gnd/102501084
2294,Thomas Gandy,1,,,http://vocab.getty.edu/ulan/500030179,,,E6263,F2891,,,
2301,William Gardener,1,,,http://vocab.getty.edu/ulan/500022514,,,E6271,F2899,,,
2302,Mrs. Gardie,1,,,http://vocab.getty.edu/ulan/500022515,,,E7077,F3698,,,
2310,Ruth Garnett,1,,,http://vocab.getty.edu/ulan/500030083,,,E6276,F2904,,,
2319,Maria G. Gastineau,1,,,http://vocab.getty.edu/ulan/500083689,,http://www.wikidata.org/entity/Q18674143,E6284,F2912,,,
2321,George Frederick Gaubert,1,,,,,,E6287,F2915,,,
2323,Pauline Gauffier,1,,,http://vocab.getty.edu/ulan/500015191,,http://www.wikidata.org/entity/Q107169254,E6289,F2917,,,
2326,David Gauld,1,,,http://vocab.getty.edu/ulan/500000959,http://viaf.org/viaf/95686484,http://www.wikidata.org/entity/Q18163084,E4076,F849,,,https://d-nb.info/gnd/1206566353
