count,country,region,district,city,village,name,wikidata_uri
8752,,,,,,Ubicazione sconosciuta,
2787,Regno Unito,,,Londra,,Asta Christie's,http://www.wikidata.org/entity/Q503176
2280,Regno Unito,,,Londra,,Asta Sotheby's,http://www.wikidata.org/entity/Q654762
2077,Stati Uniti d'America,New York,,New York (NY),,Collezione S.H. Kress,http://www.wikidata.org/entity/Q2074027
1334,Stati Uniti d'America,District of Columbia,,Washington (DC),,National Gallery of Art,http://www.wikidata.org/entity/Q214867
1290,Italia,Lazio,Roma,Roma,,Mercato antiquario,
1132,Stati Uniti d'America,New York,,New York (NY),,Asta Sotheby's,http://www.wikidata.org/entity/Q654762
1006,Italia,Lombardia,Milano,Milano,,Collezione privata,
863,Italia,Lazio,Roma,Roma,,Collezione privata,
854,Stati Uniti d'America,New York,,New York (NY),,Asta Christie's,http://www.wikidata.org/entity/Q503176
847,Italia,Toscana,Firenze,Firenze,,"Palazzo degli Uffizi, Galleria degli Uffizi",http://www.wikidata.org/entity/Q51252
844,Italia,Lombardia,Milano,Milano,,Mercato antiquario,
831,Italia,Lombardia,Bergamo,Bergamo,,Accademia Carrara,http://www.wikidata.org/entity/Q338367
778,Regno Unito/ Stati Uniti d'America/ Francia,,,Londra/ New York (NY)/ Parigi,,"Duveen Brothers, Inc.",
702,Stati Uniti d'America,New York,,New York (NY),,The Metropolitan Museum of Art,http://www.wikidata.org/entity/Q160236
656,Francia,Île-de-France,,Parigi,,Collezione Dreyfus,
640,Regno Unito,,,Londra,,National Gallery,http://www.wikidata.org/entity/Q180788
624,Italia,Toscana,Firenze,Firenze,,Mercato antiquario,
623,Italia,Lazio,Roma,Roma,,Sestieri,
613,Regno Unito,,,Londra,,Mercato antiquario,
547,Italia,Lombardia,Milano,Milano,,Pinacoteca Nazionale di Brera,http://www.wikidata.org/entity/Q150066
525,Stati Uniti d'America,Maryland,,Baltimora (MD),,The Walters Art Museum,http://www.wikidata.org/entity/Q210081
520,Italia,Emilia Romagna,Bologna,Bologna,,Pinacoteca Nazionale,http://www.wikidata.org/entity/Q2095405
495,Italia,Toscana,Siena,Siena,,Pinacoteca Nazionale,http://www.wikidata.org/entity/Q2095405
480,,,,,,Collezione privata,
480,Italia,Toscana,Firenze,Firenze,,Collezione privata,
467,Italia,Lombardia,Milano,Milano,,Asta Finarte,
463,Germania,,,Berlino,,"Gemäldegalerie, Staatliche Museen zu Berlin",http://www.wikidata.org/entity/Q165631
455,Regno Unito,,,Londra,,Colnaghi,
441,Italia,Toscana,Firenze,Firenze,,"Palazzo Pitti, Galleria Palatina e Appartamenti Reali",http://www.wikidata.org/entity/Q29286
413,Regno Unito,,,Londra,,Bellesi,
412,Italia,Campania,Napoli,Napoli,,Museo e Gallerie Nazionali di Capodimonte,http://www.wikidata.org/entity/Q290549
400,Italia,Veneto,Venezia,Venezia,,Gallerie dell'Accademia,http://www.wikidata.org/entity/Q338330
399,Italia,Lazio,Roma,Roma,,Galleria Pallavicini,http://www.wikidata.org/entity/Q1817132
397,Francia,Île-de-France,,Parigi,,Musée du Louvre,http://www.wikidata.org/entity/Q19675
394,Città del Vaticano,,,Città del Vaticano,,"Palazzi Vaticani, Pinacoteca Vaticana",http://www.wikidata.org/entity/Q774940
374,Italia,Toscana,Firenze,Firenze,,Salocchi,
358,Stati Uniti d'America,New York,,New York (NY),,F. Mont,
358,Stati Uniti d'America,Pennsylvania,,Philadelphia (PA),,Philadelphia Museum of Art,http://www.wikidata.org/entity/Q510324
356,Italia,Lazio,Roma,Roma,,Galleria Nazionale d'Arte Antica di Palazzo Barberini,
354,Italia,,,Firenze/ Roma,,Contini Bonacossi,
339,Italia,Lazio,Roma,Roma,,Collezione M. Massarenti,
334,Italia,Lazio,Roma,Roma,,Galleria Borghese,http://www.wikidata.org/entity/Q841506
321,Italia,Umbria,Perugia,Perugia,,Galleria Nazionale dell'Umbria,http://www.wikidata.org/entity/Q2739127
315,Italia,Lazio,Roma,Roma,,Galleria Sangiorgi,
314,Italia,Lazio,Roma,Roma,,C. Sestieri,
314,Italia,Toscana,Firenze,Firenze,,Galleria dell'Accademia,http://www.wikidata.org/entity/Q10855544
313,Stati Uniti d'America,New York,,New York (NY),,Mercato antiquario,
295,Stati Uniti d'America,New York,,New York (NY),,Asta American Art Association,http://www.wikidata.org/entity/Q16961275
293,Stati Uniti d'America,Pennsylvania,,Philadelphia (PA),,Collezione J.G. Johnson,
289,Regno Unito,,,Londra,,Agnew's,http://www.wikidata.org/entity/Q17021787
287,Italia,Toscana,Firenze,Firenze,,Contini Bonacossi,
286,Germania,,,Monaco di Baviera,,"Alte Pinakothek, Bayerische Staatsgemäldesammlungen",http://www.wikidata.org/entity/Q154568
276,Austria,,,Vienna,,Asta Dorotheum,http://www.wikidata.org/entity/Q668545
272,Stati Uniti d'America,Massachusetts,,Cambridge (MA),,Harvard Art Museums - Fogg Museum,
268,Italia,Lazio,Roma,Roma,,Collezione G.P. Campana,
266,Ungheria,,,Budapest,,Museo di Belle Arti (Szépmüvészeti Múzeum),http://www.wikidata.org/entity/Q840886
244,Italia,Toscana,Firenze,Firenze,,Basilica di S. Croce,http://www.wikidata.org/entity/Q51177
242,Italia,Emilia Romagna,Bologna,Bologna,,Collezione privata,
240,Austria,,,Vienna,,Kunsthistorisches Museum,http://www.wikidata.org/entity/Q95569
239,Italia,Toscana,Firenze,Firenze,,Museo Nazionale del Bargello,http://www.wikidata.org/entity/Q388448
233,Italia,Veneto,Treviso,Treviso,,Museo Civico Luigi Bailo,http://www.wikidata.org/entity/Q51166
229,Stati Uniti d'America,New York,,New York (NY),,O. Klein,
226,Italia,,,,,Collezione privata,
219,Stati Uniti d'America,New York,,New York (NY),,French & Co.,http://www.wikidata.org/entity/Q18575739
213,Francia,Provenza-Alpi-Costa Azzurra,,Avignone,,Musée du Petit Palais,http://www.wikidata.org/entity/Q1664416
212,Italia,Emilia Romagna,Bologna,Bologna,,Mercato antiquario,
212,Italia,Emilia Romagna,Ferrara,Ferrara,,Pinacoteca Nazionale,http://www.wikidata.org/entity/Q2095405
212,Italia,Emilia Romagna,Modena,Modena,,Galleria Estense,http://www.wikidata.org/entity/Q774128
211,Italia,Lombardia,Milano,Milano,,Algranti,
211,Stati Uniti d'America,South Carolina,,Greenville (SC),,Bob Jones University Museum and Gallery,http://www.wikidata.org/entity/Q5481539
203,Italia,Liguria,Genova,Genova,,Collezione privata,
203,Italia,Toscana,Firenze,Firenze,,Palazzo Vecchio,http://www.wikidata.org/entity/Q271928
201,Italia,Toscana,Firenze,Firenze,,Asta Pandolfini,
199,Francia,Île-de-France,,Parigi,,Mercato antiquario,
197,Italia,Lazio,Roma,Roma,,Museo Nazionale del Palazzo di Venezia,http://www.wikidata.org/entity/Q1954305
196,Italia,Lazio,Roma,Roma,,Basilica di S. Paolo fuori le Mura,http://www.wikidata.org/entity/Q231699
195,Italia,Lazio,Roma,Roma,,Galleria Spada,http://www.wikidata.org/entity/Q3757699
191,Stati Uniti d'America,New York,,New York (NY),,J.H. Weitzner,
191,Stati Uniti d'America,New York,,New York (NY),,Wildenstein & Co.,http://www.wikidata.org/entity/Q10288082
188,Irlanda,,,Dublino,,National Gallery of Ireland,http://www.wikidata.org/entity/Q2018379
188,Italia,Toscana,Pisa,Pisa,,Museo Nazionale di S. Matteo,http://www.wikidata.org/entity/Q1081881
184,Stati Uniti d'America,Connecticut,,New Haven (CT),,Yale University Art Gallery,http://www.wikidata.org/entity/Q1568434
183,Italia,Lazio,Roma,Roma,,Galleria Colonna,http://www.wikidata.org/entity/Q1971299
182,Italia,Marche,Pesaro e Urbino,Pesaro,,"Musei Civici, Pinacoteca",
182,Italia,Veneto,Verona,Verona,,Museo di Castelvecchio,http://www.wikidata.org/entity/Q2518724
176,Italia,Emilia Romagna,Forlì - Cesena,Forlì,,Pinacoteca Civica,
176,Italia,Lazio,Roma,Roma,,Galleria Nazionale d'Arte Moderna,
176,Regno Unito,,,Londra,,Collezione privata,
175,Italia,Piemonte,Torino,Torino,,G. Zabert,
173,Italia,Lazio,Roma,Roma,,Galleria Doria Pamphilj,http://www.wikidata.org/entity/Q1203458
170,Italia,Lazio,Roma,Roma,,Asta Christie's,http://www.wikidata.org/entity/Q503176
170,Regno Unito,,,Londra,,Hallsborough Gallery,
170,Stati Uniti d'America,New York,,New York (NY),,Collezione privata,
165,Italia,Piemonte,Torino,Torino,,Mercato antiquario,
164,Italia,Piemonte,Torino,Torino,,Collezione privata,
162,Italia,Veneto,Verona,Verona,,Mercato antiquario,
161,Italia,Toscana,Firenze,Firenze,,E. Volpi,
161,Italia,Veneto,Venezia,Venezia,,Museo Correr,http://www.wikidata.org/entity/Q1470912
159,Stati Uniti d'America,Massachusetts,,Boston (MA),,Museum of Fine Arts,
158,Italia,Lombardia,Bergamo,Bergamo,,Mercato antiquario,
157,Paesi Bassi,,,Amsterdam,,Rijksmuseum,http://www.wikidata.org/entity/Q190804
155,Stati Uniti d'America,Michigan,,Detroit (MI),,Detroit Institute of Arts,http://www.wikidata.org/entity/Q1201549
154,Stati Uniti d'America,Florida,,Sarasota (FL),,John and Mable Ringling Museum of Art,http://www.wikidata.org/entity/Q612530
153,Italia,Lombardia,Milano,Milano,,"Castello Sforzesco, Pinacoteca",
151,Italia,Veneto,Venezia,Venezia,,Basilica di S. Marco,http://www.wikidata.org/entity/Q172988
150,Francia,Île-de-France,,Parigi,,Moratilla,
149,Italia,Campania,Napoli,Napoli,,Collezione privata,
146,Francia,Île-de-France,,Parigi,,D'Atri,
146,Stati Uniti d'America,New York,,New York (NY),,E. and A. Silberman Galleries,
144,Francia,Île-de-France,,Parigi,,E. Moratilla,
144,Spagna,,,Madrid,,Museo Nacional del Prado,http://www.wikidata.org/entity/Q160112
143,Italia,Lazio,Roma,Roma,,Galleria dell'Accademia Nazionale di San Luca,http://www.wikidata.org/entity/Q338523
142,Italia,Piemonte,Torino,Torino,,Galleria Sabauda,http://www.wikidata.org/entity/Q2245152
141,Stati Uniti d'America,Illinois,,Chicago (IL),,The Art Institute of Chicago,http://www.wikidata.org/entity/Q239303
140,Italia,Lazio,Roma,Roma,,Basilica di S. Maria Maggiore,
140,Italia,Umbria,Perugia,Assisi,,"Basilica di S. Francesco, Basilica inferiore",http://www.wikidata.org/entity/Q207486
138,Danimarca,,,Copenaghen,,Statens Museum for Kunst,http://www.wikidata.org/entity/Q671384
138,Italia,Emilia Romagna,Bologna,Bologna,,Chiesa di S. Giacomo Maggiore,
137,Italia,Veneto,Padova,Padova,,Musei Civici agli Eremitani,http://www.wikidata.org/entity/Q3867519
136,Italia,Lombardia,Milano,Milano,,Museo Poldi Pezzoli,http://www.wikidata.org/entity/Q1190657
136,Italia,Toscana,Firenze,Firenze,,Chiesa di S. Maria Novella,http://www.wikidata.org/entity/Q51175
136,Svizzera,,,Kreuzlingen,,Collezione H. Kisters,
134,Germania,,,Dresda,,"Gemäldegalerie Alte Meister, Staatliche Kunstsammlungen Dresden",http://www.wikidata.org/entity/Q4890
132,Italia,Lazio,Roma,Roma,,Gasparrini,
132,Italia,Toscana,Firenze,Firenze,,Museo di S. Marco,http://www.wikidata.org/entity/Q13453137
130,Italia,Lazio,Roma,Roma,,P. Paolini,
128,Regno Unito,,,Londra,,Wengraf Old Masters Gallery,
127,Italia,Toscana,Prato,Prato,,Asta Farsetti,
126,,,,,,Mercato antiquario,
126,Italia,Lazio,Roma,Roma,,Villa Farnesina,http://www.wikidata.org/entity/Q1126723
126,Italia,Liguria,La Spezia,La Spezia,,Museo Civico Amedeo Lia,http://www.wikidata.org/entity/Q3867771
126,Italia,Marche,Pesaro e Urbino,Urbino,,Galleria Nazionale delle Marche,http://www.wikidata.org/entity/Q1080108
125,Francia,Île-de-France,,Parigi,,Collezione privata,
123,Francia,Borgogna-Franca Contea,,Digione,,Musée des Beaux-Arts,
123,Italia,Lazio,Roma,Roma,,Galleria Nazionale d'Arte Antica di Palazzo Corsini,http://www.wikidata.org/entity/Q3757768
121,Italia,Lazio,Roma,Roma,,Asta Finarte,
121,Italia,Toscana,Firenze,Firenze,,Volterra,
121,Regno Unito,,,Londra,Richmond,Collezione Cook,
120,Italia,Liguria,Imperia,,,Mercato antiquario,
120,Regno Unito,,,Londra,,Victoria and Albert Museum,http://www.wikidata.org/entity/Q213322
119,Italia,Emilia Romagna,Ravenna,Ravenna,,Museo d'Arte della città,
118,Italia,Lazio,Roma,Roma,,Collezione Lemme,
117,Italia,Veneto,Treviso,Possagno,,"Museo Canova, Gipsoteca",
116,Germania,,,Berlino,,Kaiser Friedrich Museum,http://www.wikidata.org/entity/Q157825
116,Italia,Toscana,Firenze,Firenze,,Asta Sotheby's,http://www.wikidata.org/entity/Q654762
116,Italia,Toscana,Siena,Siena,,Cattedrale di S. Maria Assunta,
115,Italia,Emilia Romagna,Parma,Parma,,Galleria Nazionale,
115,Italia,Toscana,Firenze,Firenze,,Basilica della SS. Annunziata,
114,Italia,Lazio,Roma,Roma,,Chiesa di S. Maria del Popolo,http://www.wikidata.org/entity/Q869513
114,Italia,Lazio,Roma,Roma,,Chiesa di S. Maria sopra Minerva,http://www.wikidata.org/entity/Q823685
114,Italia,Lazio,Roma,Roma,,Collezione Barberini,
113,Italia,Toscana,Firenze,Firenze,,Museo dell'Opera di S. Maria del Fiore,http://www.wikidata.org/entity/Q1200696
113,Stati Uniti d'America,California,,Los Angeles (CA),,J. Paul Getty Museum,http://www.wikidata.org/entity/Q731126
112,Stati Uniti d'America,New York,,New York (NY),,Ehrich Galleries,http://www.wikidata.org/entity/Q105698482
111,Italia,Veneto,Venezia,Venezia,,Collezione Cini,http://www.wikidata.org/entity/Q1435690
111,Stati Uniti d'America,Delaware,,Newark (DE),,Collezione Alana,http://www.wikidata.org/entity/Q77274659
110,Italia,Lombardia,Bergamo,Bergamo,,Collezione Carrara,
109,Italia,Toscana,Firenze,Firenze,,Bellini,
108,Francia,Île-de-France,,Parigi,,Asta Galerie Georges Petit,http://www.wikidata.org/entity/Q18662018
108,Italia,Veneto,Venezia,Venezia,,Asta Semenzato,
108,Italia,Veneto,Venezia,Venezia,,Collezione privata,
108,Svezia,,,Stoccolma,,Nationalmuseum,http://www.wikidata.org/entity/Q842858
107,Italia,Veneto,Venezia,Venezia,,Collezione V. Cini,
107,Italia/ Francia,,,Roma/ Parigi,,Lazzaroni,
105,Italia,Emilia Romagna,Reggio nell'Emilia,Reggio nell'Emilia,,Mercato antiquario,
105,Italia,Lazio,Roma,Roma,,Collezione G. Sterbini,
105,Polonia,,,Varsavia,,Muzeum Narodowe w Warszawie,http://www.wikidata.org/entity/Q153306
104,Italia,Lazio,Roma,Roma,,Asta Galleria Sangiorgi,
102,Francia,Alvernia-Rodano-Alpi,,Chambéry,,Musée des Beaux-Arts,
102,Italia,Abruzzi,L'Aquila,L'Aquila,,Museo Nazionale d'Abruzzo,http://www.wikidata.org/entity/Q3328396
101,Italia,Lombardia,Milano,Milano,,Collezione A. Chiesa,
101,Italia,Veneto,Vicenza,Vicenza,,"Musei Civici, Pinacoteca",
101,Regno Unito,,,Londra,,Hazlitt Gallery,
101,Stati Uniti d'America,North Carolina,,Raleigh (NC),,North Carolina Museum of Art,http://www.wikidata.org/entity/Q1459878
101,Svizzera,,,Lucerna,,Asta Fischer,
100,Svizzera,,,Ginevra,,Musée d'Art et d'Histoire,
99,Italia,,,,,Mercato antiquario,
99,Regno Unito,,,Londra,,The British Museum,http://www.wikidata.org/entity/Q6373
99,Stati Uniti d'America,New York,,New York (NY),,Collezione R. Lehman,
98,Germania,,,Karlsruhe,,Staatliche Kunsthalle,http://www.wikidata.org/entity/Q658725
98,Italia,Toscana,Firenze,Firenze,,"Villa I Tatti, The Harvard University Center for Italian Renaissance Studies",
98,Italia,Umbria,Perugia,Assisi,,"Basilica di S. Francesco, Basilica superiore",http://www.wikidata.org/entity/Q207486
97,Italia,Emilia Romagna,Parma,Parma,,Collezione privata,
97,Italia,Lombardia,Bergamo,Bergamo,,Collezione privata,
95,Francia,Île-de-France,,Parigi,,Asta Hôtel Drouot,
94,Francia,Île-de-France,,Parigi,,Musée Jacquemart André,http://www.wikidata.org/entity/Q1165526
94,Italia,Lazio,Roma,Roma,,Pinacoteca Capitolina,http://www.wikidata.org/entity/Q333906
94,Stati Uniti d'America,Massachusetts,,Worcester (MA),,Worcester Art Museum,http://www.wikidata.org/entity/Q847508
93,Italia,Lombardia,Brescia,Brescia,,Mercato antiquario,
93,Italia,Toscana,Firenze,Firenze,,Collezione C.A. Loeser,
93,Italia,Veneto,Padova,Padova,,Cappella degli Scrovegni//Cappella dell'Arena,http://www.wikidata.org/entity/Q963954
92,Città del Vaticano,,,Città del Vaticano,,Basilica di S. Pietro,http://www.wikidata.org/entity/Q12512
91,Italia,Lazio,Roma,Roma,,Palazzo del Quirinale,http://www.wikidata.org/entity/Q223079
90,Italia,Veneto,Verona,Verona,,Galleria Menaguale,
90,Stati Uniti d'America,New Jersey,,Englewood (NJ),,Collezione D.F. Platt,
88,Germania,,,Berlino,,Collezione E. Solly,
88,Italia,Toscana,Firenze,Firenze,,Frascione,
88,Stati Uniti d'America,Ohio,,Cleveland (OH),,The Cleveland Museum of Art,http://www.wikidata.org/entity/Q657415
87,Regno Unito,,,Londra,,Courtauld Institute Galleries,http://www.wikidata.org/entity/Q12110695
86,Germania,,,Altenburg,,Lindenau-Museum,http://www.wikidata.org/entity/Q878678
86,Germania,,,Kassel,,"Museum Schloss Wilhelmshöhe, Gemäldegalerie Alte Meister",
86,Italia,Liguria,Genova,Genova,,Mercato antiquario,
86,Italia,Lombardia,Bergamo,Bergamo,,Collezione G. Morelli,
86,Italia,Umbria,Perugia,Città di Castello,,Pinacoteca Comunale,
86,Italia,Veneto,Venezia,Venezia,,Ca' d'Oro - Galleria Giorgio Franchetti,http://www.wikidata.org/entity/Q820872
86,Stati Uniti d'America,Minnesota,,Minneapolis (MN),,Minneapolis Institute of Arts,http://www.wikidata.org/entity/Q1700481
85,Città del Vaticano,,,Città del Vaticano,,"Palazzi Vaticani, Palazzo di Niccolò III",http://www.wikidata.org/entity/Q145093
85,Italia,Toscana,Firenze,Firenze,,Collezione J.J. Jarves,
84,Italia,Lombardia,Milano,,,Mercato antiquario,
84,Italia,Umbria,Perugia,Assisi,,Basilica di S. Maria degli Angeli,
83,Germania,,,Colonia,,Wallraf-Richartz Museum,http://www.wikidata.org/entity/Q700959
83,Italia,Lombardia,Bergamo,Bergamo,,Galleria Lorenzelli,
83,Italia,Veneto,Venezia,Venezia,,Mercato antiquario,
83,Regno Unito,Cambridgeshire,,Cambridge,,Fitzwilliam Museum,http://www.wikidata.org/entity/Q1421440
83,Spagna,,,Madrid,,Museo Nacional Thyssen-Bornemisza,
82,Italia,Marche,Pesaro e Urbino,Pesaro,,Mercato antiquario,
82,Italia,Veneto,Venezia,Venezia,,Palazzo Ducale,
81,"Ceca, Rep.",,,Praga,,Národní galerie v Praze,
81,Germania,,,Berlino,,Asta Cassirer-Helbing,
81,Italia,Emilia Romagna,Bologna,Bologna,,Collezioni Comunali d'Arte,
80,Italia,Toscana,Firenze,Firenze,,"Palazzo degli Uffizi, Corridoio Vasariano",http://www.wikidata.org/entity/Q913058
80,Svizzera,,,Lugano,,Collezione Thyssen-Bornemisza,
79,Francia,Île-de-France,,Parigi,,Baroni,
79,Italia,Veneto,Venezia,Venezia,,Museo del Settecento veneziano di Ca' Rezzonico,http://www.wikidata.org/entity/Q1052171
79,Slovenia,,,Lubiana,,Narodna Galerija,http://www.wikidata.org/entity/Q1953536
78,Italia,Emilia Romagna,Bologna,,,Collezione privata,
78,Italia,Emilia Romagna,Bologna,Bologna,,Basilica di S. Petronio,http://www.wikidata.org/entity/Q810103
78,Italia,Umbria,Perugia,Foligno,,Palazzo Trinci,http://www.wikidata.org/entity/Q634570
77,Austria,,,Vienna,,Galerie Sanct Lucas,http://www.wikidata.org/entity/Q53678062
77,Italia,Lazio,Roma,Roma,,Basilica di S. Giovanni in Laterano,http://www.wikidata.org/entity/Q84090
77,Regno Unito,,,Londra,,Matthiesen,http://www.wikidata.org/entity/Q103945084
77,Russia,,,San Pietroburgo,,Museo dell'Ermitage (Gosudarstvennyj Eremitage),http://www.wikidata.org/entity/Q132783
77,Stati Uniti d'America,Connecticut,,Hartford (CT),,Wadsworth Atheneum,http://www.wikidata.org/entity/Q403080
76,Italia,Lombardia,Bergamo,Bergamo,,Collezione Lochis,
75,Germania,,,Francoforte sul Meno,,Städel Museum,
75,Italia,Lazio,Roma,Roma,,Asta L'Antonina,
75,Italia,Liguria,Genova,Genova,,Collezione A. Costa,
75,Italia,Lombardia,Milano,Milano,,Asta Galleria Pesaro,
75,Italia,Toscana,Siena,Siena,,Museo dell'Opera del Duomo,http://www.wikidata.org/entity/Q869130
75,Stati Uniti d'America,Indiana,,Notre Dame (IN),,"Raclin Murphy Museum of Art, University of Notre Dame",
74,Germania,,,Stoccarda,,Staatsgalerie Stuttgart,http://www.wikidata.org/entity/Q14917275
73,Italia,Lazio,Roma,Roma,,E. Sestieri,
73,Regno Unito,Merseyside,,Liverpool,,Walker Art Gallery,http://www.wikidata.org/entity/Q1536471
73,Stati Uniti d'America,California,,Los Angeles (CA),,Los Angeles County Museum of Art,http://www.wikidata.org/entity/Q1641836
72,Regno Unito,,,Londra,,Collezione R. Langton Douglas,
72,Stati Uniti d'America,New York,,New York (NY),,Collezione M.F. Griggs,
71,Città del Vaticano,,,Città del Vaticano,,"Palazzi Vaticani, Biblioteca Apostolica Vaticana",
71,Italia,Emilia Romagna,Bologna,Bologna,,Basilica di S. Domenico,
71,Italia,Toscana,Arezzo,Arezzo,,Museo Statale di Arte Medievale e Moderna,http://www.wikidata.org/entity/Q3868464
71,Italia,Veneto,Venezia,Venezia,,Fondazione Giorgio Cini,http://www.wikidata.org/entity/Q1435690
71,Italia,Veneto,Vicenza,Bassano del Grappa,,Museo Civico,
70,Regno Unito,,,Edimburgo,,National Galleries of Scotland,http://www.wikidata.org/entity/Q942713
70,Regno Unito,Oxfordshire,,Oxford,,Ashmolean Museum of Art and Archeology,http://www.wikidata.org/entity/Q636400
70,Stati Uniti d'America,New York,,New York (NY),,Knoedler and Co.,http://www.wikidata.org/entity/Q10288073
70,Svizzera,,,,,Collezione privata,
69,Italia,Campania,Napoli,Napoli,,Certosa di S. Martino,http://www.wikidata.org/entity/Q859732
69,Italia,Lazio,Roma,Roma,,Museo di Roma,http://www.wikidata.org/entity/Q3868175
69,Stati Uniti d'America,New York,,New York (NY),,Wildenstein,http://www.wikidata.org/entity/Q10288082
68,Italia,Lombardia,Milano,Milano,,Pinacoteca Ambrosiana,http://www.wikidata.org/entity/Q1085811
68,Italia,Piemonte,Torino,Torino,,Museo Civico d'Arte Antica e Palazzo Madama,http://www.wikidata.org/entity/Q55372358
67,Italia,Emilia Romagna,Ravenna,Faenza,,Pinacoteca Comunale,
67,Italia,Lazio,Roma,Roma,,Collezione G. Stroganoff,
67,Italia,Umbria,Perugia,Montefalco,,Museo Civico di S. Francesco,http://www.wikidata.org/entity/Q18635216
67,Stati Uniti d'America,Texas,,Houston (TX),,The Museum of Fine Arts,http://www.wikidata.org/entity/Q1565911
66,Italia,Campania,Napoli,Napoli,,Museo Nazionale di S. Martino,http://www.wikidata.org/entity/Q3329345
66,Italia,Sicilia,Palermo,Palermo,,Galleria Regionale della Sicilia Palazzo Abatellis,http://www.wikidata.org/entity/Q1255652
66,Italia,Toscana,Firenze,Firenze,,Cattedrale di S. Maria del Fiore,http://www.wikidata.org/entity/Q191739
66,Italia,Umbria,Perugia,Assisi,,Museo del Tesoro della Basilica di S. Francesco e Collezione F.M. Perkins,
66,Regno Unito,,,Londra,,J.H. Weitzner,
65,Città del Vaticano,,,Città del Vaticano,,"Palazzi Vaticani, Cappella Sistina",http://www.wikidata.org/entity/Q2943
65,Italia,Lazio,Roma,Roma,,Collezione Del Drago,
65,Italia,Lazio,Roma,Roma,,Morandotti,
65,Italia,Lombardia,Brescia,Brescia,,Pinacoteca Civica Tosio-Martinengo,http://www.wikidata.org/entity/Q3388589
65,Italia,Lombardia,Milano,Milano,,Collezione Saibene,
65,Regno Unito,,,,,Collezione privata,
64,Germania,,,Colonia,,Collezione J.A. Ramboux,
64,Italia,Emilia Romagna,Ferrara,Ferrara,,Collezione Costabili,
64,Italia,Lazio,Roma,Roma,,Collezione A. Busiri Vici,
64,Stati Uniti d'America,California,,San Diego (CA),,San Diego Museum of Art,http://www.wikidata.org/entity/Q1368166
63,Italia,Lazio,Roma,Roma,,Chiesa di S. Maria in Aracoeli,http://www.wikidata.org/entity/Q19983640
63,Italia,Toscana,Firenze,Firenze,,Casa Buonarroti,http://www.wikidata.org/entity/Q2418618
63,Italia,Toscana,Pisa,Pisa,,Camposanto,http://www.wikidata.org/entity/Q1031614
63,Paesi Bassi,,,Amsterdam,,Asta Frederik Muller & Cie,http://www.wikidata.org/entity/Q18821838
62,Francia,Île-de-France,,Parigi,,G. Baroni,
62,Italia,Lombardia,Milano,Milano,,Asta Sotheby's,http://www.wikidata.org/entity/Q654762
62,Italia,Toscana,Firenze,Firenze,,Galleria Corsini,http://www.wikidata.org/entity/Q2266081
62,Italia,Toscana,Lucca,Lucca,,Cattedrale di S. Martino,http://www.wikidata.org/entity/Q1282278
62,Italia,Toscana,Siena,Siena,,Collezione Chigi Saracini,
62,Stati Uniti d'America,Missouri,,Kansas City (MO),,Nelson-Atkins Museum of Art,http://www.wikidata.org/entity/Q1976985
62,Stati Uniti d'America,New Jersey,,Princeton (NJ),,Princeton University Art Museum,http://www.wikidata.org/entity/Q2603905
62,Stati Uniti d'America,New York,,New York (NY),,Collezione G. e F. Blumenthal,
61,Italia,Lazio,Frosinone,Anagni,,Cattedrale di S. Maria,
61,Italia,Lazio,Roma,Roma,,Chiesa della Trinità dei Monti,
61,Italia,Toscana,Firenze,Firenze,,Chiesa di S. Maria del Carmine,http://www.wikidata.org/entity/Q1042634
61,Stati Uniti d'America,New York,,New York (NY),,Newhouse Galleries,
60,Italia,Lombardia,Brescia,Brescia,,Collezione privata,
60,Italia,Lombardia,Milano,Milano,,Chiesa di S. Maurizio al Monastero Maggiore,http://www.wikidata.org/entity/Q1255890
60,Italia,Toscana,Firenze,Fiesole,,Museo Bandini,http://www.wikidata.org/entity/Q3329076
60,Regno Unito,,,Londra,,Collezione R.H. Benson,
60,Stati Uniti d'America,Massachusetts,,Boston (MA),,Isabella Stewart Gardner Museum,http://www.wikidata.org/entity/Q49135
59,Italia,Toscana,Firenze,Firenze,,Basilica di S. Lorenzo,http://www.wikidata.org/entity/Q573881
59,Italia,Toscana,Firenze,Firenze,,Basilica di S. Trinita,http://www.wikidata.org/entity/Q1062114
58,Francia,Borgogna-Franca Contea,,Digione,,Musée Magnin,
58,Italia,Lazio,Roma,Roma,,Palazzo Spada,http://www.wikidata.org/entity/Q1058475
58,Puerto Rico,,,Ponce,,Museo de Arte de Ponce,http://www.wikidata.org/entity/Q3137182
58,Regno Unito,,,Londra,,Asta Bonhams,http://www.wikidata.org/entity/Q892447
58,Regno Unito,,,Londra,,Galleria Heim,http://www.wikidata.org/entity/Q47484047
57,Città del Vaticano,,,Città del Vaticano,,Palazzi Vaticani,
57,Italia,Lazio,Roma,Roma,,Quadreria della Cassa Depositi e Prestiti,http://www.wikidata.org/entity/Q1048204
57,Italia,Piemonte,Vercelli,Vercelli,,Museo Borgogna,
57,Italia,Toscana,Firenze,Firenze,,Museo Horne,http://www.wikidata.org/entity/Q531218
57,Italia,Toscana,Lucca,Lucca,,Museo Nazionale di Villa Guinigi,http://www.wikidata.org/entity/Q3330090
57,Italia,Toscana,Pistoia,Pistoia,,Chiesa di S. Francesco,http://www.wikidata.org/entity/Q3670080
