count,name,pseudonym,source,active_from,active_to,viaf,ulan,wikidata,wikipedia,source,loc,gnd
303,Strozzi Bernardo,,data and vocab,1600,1699,http://viaf.org/viaf/7657224,http://vocab.getty.edu/ulan/500115732,http://www.wikidata.org/entity/Q437724,http://it.wikipedia.org/wiki/Bernardo_Strozzi,data and vocab,http://id.loc.gov/authorities/names/n82050793,https://d-nb.info/gnd/119332531
297,Rosa Salvator,,manual,1600,1799,http://viaf.org/viaf/46830369,http://vocab.getty.edu/ulan/500011328,http://www.wikidata.org/entity/Q359421,,manual,http://id.loc.gov/authorities/names/n50048421,https://d-nb.info/gnd/118791141
296,Ricci Sebastiano,,vocab,1678,1740,http://viaf.org/viaf/57410829,http://vocab.getty.edu/ulan/500028857,http://www.wikidata.org/entity/Q506483,,vocab,http://id.loc.gov/authorities/names/n50044876,https://d-nb.info/gnd/118788655
286,Bernardino di Betto,Pinturicchio/ Pintoricchio,data and vocab,1470,1530,http://viaf.org/viaf/49378648,http://vocab.getty.edu/ulan/500023716,http://www.wikidata.org/entity/Q5591,,data and vocab,http://id.loc.gov/authorities/names/nr91029265,https://d-nb.info/gnd/118792261
277,Mura Francesco de',,manual,1715,1799,http://viaf.org/viaf/15698551,http://vocab.getty.edu/ulan/500016904,http://www.wikidata.org/entity/Q1441279,,manual,http://id.loc.gov/authorities/names/nr95044113,https://d-nb.info/gnd/124196853
272,Solimena Francesco,Abate Ciccio,vocab,1675,1770,http://viaf.org/viaf/29802024,http://vocab.getty.edu/ulan/500019310,http://www.wikidata.org/entity/Q736065,,vocab,http://id.loc.gov/authorities/names/nr91043081,https://d-nb.info/gnd/119325438
271,Carracci Annibale,,data and vocab,1580,1699,http://viaf.org/viaf/12405951,http://vocab.getty.edu/ulan/500115350,http://www.wikidata.org/entity/Q7824,http://it.wikipedia.org/wiki/Annibale_Carracci,data and vocab,http://id.loc.gov/authorities/names/n80043473,https://d-nb.info/gnd/118519255
267,Vasari Giorgio,,data and vocab,1519,1599,http://viaf.org/viaf/46768219,http://vocab.getty.edu/ulan/500017608,http://www.wikidata.org/entity/Q128027,http://it.wikipedia.org/wiki/Giorgio_Vasari,data and vocab,http://id.loc.gov/authorities/names/n79084160,https://d-nb.info/gnd/118626213
264,Canova Antonio,,data and vocab,1770,1899,http://viaf.org/viaf/36965536,http://vocab.getty.edu/ulan/500115339,http://www.wikidata.org/entity/Q5547,http://it.wikipedia.org/wiki/Antonio_Canova,data and vocab,http://id.loc.gov/authorities/names/n79008257,https://d-nb.info/gnd/118518860
263,Bigordi Domenico,Ghirlandaio,data and vocab,1469,1525,http://viaf.org/viaf/61554420,http://vocab.getty.edu/ulan/500115228,http://www.wikidata.org/entity/Q191423,http://it.wikipedia.org/wiki/Domenico_Ghirlandaio,data and vocab,http://id.loc.gov/authorities/names/n83319383,https://d-nb.info/gnd/118717227
263,Agnolo di Cosimo,Bronzino,data and vocab,1525,1659,http://viaf.org/viaf/59354048,http://vocab.getty.edu/ulan/500004362,http://www.wikidata.org/entity/Q7803,http://it.wikipedia.org/wiki/Bronzino,data and vocab,http://id.loc.gov/authorities/names/n80116993,https://d-nb.info/gnd/119168774
262,Bicci di Lorenzo,,data and vocab,1390,1460,http://viaf.org/viaf/30416523,http://vocab.getty.edu/ulan/500002727,http://www.wikidata.org/entity/Q856749,http://it.wikipedia.org/wiki/Bicci_di_Lorenzo,data and vocab,http://id.loc.gov/authorities/names/nr91029157,https://d-nb.info/gnd/122312902
258,Jacopo di Arcangelo,Jacopo del Sellaio,data and vocab,1450,1530,http://viaf.org/viaf/96701899,http://vocab.getty.edu/ulan/500023242,http://www.wikidata.org/entity/Q2525549,,data and vocab,http://id.loc.gov/authorities/names/nr00034063,https://d-nb.info/gnd/131533010
257,Aquili Antonio,Antoniazzo Romano,data and vocab,1400,1549,http://viaf.org/viaf/316393731,http://vocab.getty.edu/ulan/500031194,http://www.wikidata.org/entity/Q598649,,data and vocab,http://id.loc.gov/authorities/names/n85305010,https://d-nb.info/gnd/119116480
254,Pietro di Giovanni,Lorenzo Monaco,vocab,1387,1470,http://viaf.org/viaf/80163464626205680008,http://vocab.getty.edu/ulan/500026261,http://www.wikidata.org/entity/Q155376,,vocab,http://id.loc.gov/authorities/names/n87877097,https://d-nb.info/gnd/118729071
253,Lippi Filippino,,data and vocab,1400,1588,http://viaf.org/viaf/100260937,http://vocab.getty.edu/ulan/500018029,http://www.wikidata.org/entity/Q296265,http://it.wikipedia.org/wiki/Filippino_Lippi,data and vocab,http://id.loc.gov/authorities/names/n79063144,https://d-nb.info/gnd/118780123
250,Lotto Lorenzo,,data and vocab,1500,1599,http://viaf.org/viaf/22165049,http://vocab.getty.edu/ulan/500015631,http://www.wikidata.org/entity/Q310973,,data and vocab,http://id.loc.gov/authorities/names/n50042418,https://d-nb.info/gnd/118780530
249,Giaquinto Corrado,,vocab,1720,1765,http://viaf.org/viaf/79414196,http://vocab.getty.edu/ulan/500021302,http://www.wikidata.org/entity/Q740934,,vocab,http://id.loc.gov/authorities/names/n85265498,https://d-nb.info/gnd/119195976
