count,value,sources,authority_id,exactMatch,broadMatch,narrowMatch,closeMatch,relatedMatch
73969,Feder,"hertziana,khi",,,,,,
35961,laviert,"hertziana,khi,marburg",47016500,http://vocab.getty.edu/aat/300182748,,,,
20687,gehöht,"hertziana,khi",47111400,http://vocab.getty.edu/aat/300053418,,,,
13400,Freskomalerei,"hertziana,khi",47067200,http://vocab.getty.edu/aat/300053357,,,,
7289,Pinsel,"hertziana,khi",20131391,,,,,
6661,aquarelliert,"hertziana,khi",47119500,http://vocab.getty.edu/aat/300053363,,,,
2984,vergoldet,"hertziana,khi,marburg",46986500,http://vocab.getty.edu/aat/300053789,,,,
2859,quadriert,"hertziana,khi",46996100,http://vocab.getty.edu/aat/300053431,,,,
2455,grundiert,"hertziana,khi",47105000,http://vocab.getty.edu/aat/300053400,,,,
2387,aufgezogen,"hertziana,khi",47091400,,,,http://vocab.getty.edu/aat/300081370,
1996,gefasst,"hertziana,khi",47058600,,http://vocab.getty.edu/aat/300053043,,,
1972,Kupferstich,"hertziana,khi",,,,,,
1941,geschnitzt,"hertziana,khi",47045000,http://vocab.getty.edu/aat/300053149,,,,
1608,Radierung,"hertziana,khi",,,,,,
1387,bemalt,"hertziana,khi,marburg",47087800,http://vocab.getty.edu/aat/300161986,,,,
1327,Radierung (Druckverfahren),"khi,marburg",46921700,http://vocab.getty.edu/aat/300053241,,,,http://vocab.getty.edu/aat/300041365
1250,gefärbt,"hertziana,khi",47062400,http://vocab.getty.edu/aat/300053049,,,,
1187,Lithographie (Druckverfahren),"khi,marburg",46947800,http://vocab.getty.edu/aat/300053271,,,,http://vocab.getty.edu/aat/300041379
1145,Holzschnitt,"hertziana,khi",,,,,,
945,gegossen,"hertziana,khi",46912400,http://vocab.getty.edu/aat/300053104,,,,
915,emailliert,"hertziana,khi",47072200,http://vocab.getty.edu/aat/300053773,,,,
791,getrieben,"hertziana,khi,marburg",46890100,http://vocab.getty.edu/aat/300054016,,,,
618,ziseliert,"hertziana,khi",46885900,http://vocab.getty.edu/aat/300054018,,,,
604,Kupferstich (Druckverfahren),"khi,marburg",46922700,http://vocab.getty.edu/aat/300190531,,,,http://vocab.getty.edu/aat/300041340
568,übertragen,"hertziana,khi",20050061,http://vocab.getty.edu/aat/300053736,,,,
562,Lithographie,"hertziana,khi",,,,,,
475,aufgeklebt,"hertziana,khi",47112100,,,,http://vocab.getty.edu/aat/300053013,
455,Lineal,"hertziana,khi",,,,,,
439,geritzt,"hertziana,khi",47048200,http://vocab.getty.edu/aat/300053847,,,,
436,koloriert,"hertziana,khi",47022700,http://vocab.getty.edu/aat/300443570,,,,
415,Griffel,"hertziana,khi",,,,,,
378,Majolika,"hertziana,khi",,,,,,
366,intarsiert,"hertziana,khi",47023500,http://vocab.getty.edu/aat/300053852,,,,
356,glasiert,"hertziana,khi",46904800,http://vocab.getty.edu/aat/300053914,,,,
349,graviert,"hertziana,khi",46889500,http://vocab.getty.edu/aat/300053829,,,,
326,kaschiert,"hertziana,khi",47023100,http://vocab.getty.edu/aat/300162124,,,,
297,punziert,"hertziana,khi",46886900,http://vocab.getty.edu/aat/300235631,,,,
293,patiniert,"hertziana,khi",47001100,http://vocab.getty.edu/aat/300379761,,,,
