count,value,sources,authority_id,exactMatch,broadMatch,narrowMatch,closeMatch,relatedMatch
11164,Architekturzeichnung,"hertziana,khi",48829900,http://vocab.getty.edu/aat/300034787,,,,
8511,Reliefplastik,"hertziana,khi",48839000,,,http://vocab.getty.edu/aat/300047230,,
5933,Rundplastik,"hertziana,khi",48838600,http://vocab.getty.edu/aat/300047264,,,,
1223,Rundplastik (Rückseite ausgearbeitet),"hertziana,khi,marburg",,,,,,
1199,Antikenstudie,"hertziana,khi",48830100,,http://vocab.getty.edu/aat/300081053,,,
1010,Reproduktionsgraphik,"hertziana,khi",48824400,http://vocab.getty.edu/aat/300041569,,,,
433,Pinselzeichnung,"hertziana,khi",48829100,,http://vocab.getty.edu/aat/300033973,,,
298,Rundplastik (Rückseite flach),"hertziana,khi,marburg",,,,,,
256,Rundplastik (Rückseite ausgehöhlt),"hertziana,khi,marburg",,,,,,
63,Gebrauchsgraphik,"hertziana,khi",48825600,http://vocab.getty.edu/aat/300054181,,,,
51,Rundplastik (Rückseite vernachlässigt),"hertziana,khi,marburg",,,,,,
39,Rundplastik (Rückseite flach?),"hertziana,khi,marburg",,,,,,
34,Originalgraphik,khi,48825000,http://vocab.getty.edu/aat/300041567,,,,
32,Flachskulptur,khi,48839400,,,,,http://vocab.getty.edu/aat/300184633
24,Kunstreproduktionsgraphik,khi,48824000,,http://vocab.getty.edu/aat/300041569,,,
18,Reproduktionsfotografie,hertziana,,,,,,
17,Rundplastik (Rückseite grob ausgearbeitet),"hertziana,khi",,,,,,
13,Rundplastik (Rückseite unbearbeitet),"hertziana,khi,marburg",,,,,,
13,Mosaikkunst,hertziana,,,,,,
12,Rundplastik (Rückseite ausgearbeitet?),"hertziana,marburg",,,,,,
9,Musterzeichnung,"hertziana,khi",48829500,http://vocab.getty.edu/aat/300073488,,,,
6,Stereoskopie,hertziana,,,,,,
4,Feinkeramik,"hertziana,khi",48816700,,http://vocab.getty.edu/aat/300151343,,,
4,Flachrelief,hertziana,,,,,,
3,Inkunabel,"hertziana,khi",48825200,http://vocab.getty.edu/aat/300055021,,,,
3,Bucchero,marburg,46906600,http://vocab.getty.edu/aat/300387149,,,,
2,Probedruck,khi,,,,,,
2,Angewandte Kunst,khi,,,,,,
2,Rundplastik (Rückseite offen),khi,,,,,,
2,Rundplastik (Rückseite unbearbeitet?),marburg,,,,,,
2,Grabstein,hertziana,,,,,,
2,Landschaft,hertziana,,,,,,
1,Rundplastik (Rückseite ausgehöhlt?),marburg,,,,,,
1,hwer,hertziana,,,,,,
1,Miniaturzeichnung,hertziana,48829700,,http://vocab.getty.edu/aat/300033973,,,http://vocab.getty.edu/aat/300033936
1,Akt,hertziana,,,,,,
