count,value,sources,authority_id,exactMatch,broadMatch,narrowMatch,closeMatch,relatedMatch
79318,Papier,"hertziana,khi,marburg",47539900,http://vocab.getty.edu/aat/300014109,,,,
41232,Öl,"hertziana,khi",,,,,,
38734,Kreide,"hertziana,khi,marburg",47821300,http://vocab.getty.edu/aat/300011727,,,,
34784,Leinwand,"hertziana,khi,marburg",47304800,http://vocab.getty.edu/aat/300014078,,,,
26301,Tinte,"hertziana,khi,marburg",47751800,http://vocab.getty.edu/aat/300015012,,,,
23003,Holz,"hertziana,khi,marburg",47638200,http://vocab.getty.edu/aat/300011914,,,,
18886,Marmor,"hertziana,khi,marburg",47369200,http://vocab.getty.edu/aat/300011443,,,,
16354,Bleistift,"hertziana,khi,marburg",47896900,http://vocab.getty.edu/aat/300022436,,,,
11419,Rötel,"hertziana,khi,marburg",47775700,http://vocab.getty.edu/aat/300080064,,,,
9674,Stift,"hertziana,khi",,,,,,
7370,Tempera,"hertziana,khi,marburg",47758000,http://vocab.getty.edu/aat/300015062,,,,
7204,Bronze,"hertziana,khi,marburg",47563700,http://vocab.getty.edu/aat/300010957,,,,
7091,Ölfarbe,"khi,marburg",47790500,http://vocab.getty.edu/aat/300015050,,,,
6917,Putz,"hertziana,khi,marburg",47222500,http://vocab.getty.edu/aat/300014922,,,,
4403,Kohle,"hertziana,khi",,,,,,
4171,Tusche,"hertziana,khi,marburg",47737800,http://vocab.getty.edu/aat/300015018,,,,
3854,Wasserfarbe,"hertziana,khi,marburg",47725000,http://vocab.getty.edu/aat/300015045,,,,
2962,Aquarellfarbe,"hertziana,khi,marburg",47908000,,,,http://vocab.getty.edu/aat/300015045,
2869,Terrakotta,"hertziana,khi,marburg",47591700,http://vocab.getty.edu/aat/300010669,,,,
2807,Stein,"hertziana,khi,marburg",47403500,http://vocab.getty.edu/aat/300011176,,,,
2562,Stuck,"hertziana,khi,marburg",47921800,http://vocab.getty.edu/aat/300014966,,,,
1815,Pergament,"hertziana,khi,marburg",47241800,http://vocab.getty.edu/aat/300011851,,,,
1649,Silber,"hertziana,khi,marburg",47558400,http://vocab.getty.edu/aat/300011029,,,,
1617,Bleiweiß,"hertziana,khi",47895900,http://vocab.getty.edu/aat/300013754,,,,
1566,Sepia,"hertziana,khi,marburg",47773300,http://vocab.getty.edu/aat/300015025,,,,
1521,Metallstift,"hertziana,khi,marburg",20340014,http://vocab.getty.edu/aat/300022432,,,,
1514,Gold,"hertziana,khi,marburg",47560700,http://vocab.getty.edu/aat/300011021,,,,
1473,Bister,"hertziana,khi,marburg",47897900,http://vocab.getty.edu/aat/300013351,,,,
1445,Albuminpapier,"hertziana,khi",47490900,http://vocab.getty.edu/aat/300411855,,,,
1234,Gips,"hertziana,khi,marburg",47716100,http://vocab.getty.edu/aat/300011099,,,,
1172,Tinte (braun),hertziana,,,,,,
1131,Pappelholz,"hertziana,khi,marburg",47616800,http://vocab.getty.edu/aat/300012363,,,,
1094,Graphit,"hertziana,khi,marburg",47829900,http://vocab.getty.edu/aat/300011098,,,,
986,Kupfer,"hertziana,khi,marburg",47554100,http://vocab.getty.edu/aat/300011020,,,,
961,Karton,"hertziana,khi,marburg",,,,,,
866,Pietra serena,"hertziana,khi",47354400,,http://vocab.getty.edu/aat/300011376,,,
860,Kalkstein,"hertziana,khi,marburg",47376900,http://vocab.getty.edu/aat/300011286,,,,
828,Deckfarbe,"hertziana,khi,marburg",47893900,,,,,http://vocab.getty.edu/aat/300065465
812,Pastell,"hertziana,khi,marburg",47784100,http://vocab.getty.edu/aat/300122621,,,,
805,Metall,"hertziana,khi,marburg",47568600,http://vocab.getty.edu/aat/300010900,,,,
794,Deckweiß,"hertziana,khi,marburg",47884300,http://vocab.getty.edu/aat/300013724,,,,
752,Glas,"hertziana,khi",47711600,http://vocab.getty.edu/aat/300010797,,,,
714,Gouache,"hertziana,khi",,,,,,
689,Elfenbein,"hertziana,khi,marburg",47233800,http://vocab.getty.edu/aat/300011857,,,,
663,Pappe,"hertziana,khi,marburg",47445100,http://vocab.getty.edu/aat/300411320,,,,
561,Druckfarbe,"hertziana,khi,marburg",47883500,http://vocab.getty.edu/aat/300187371,,,,
549,Tonpapier,"hertziana,khi",47433300,http://vocab.getty.edu/aat/300183668,,,,
517,Silberstift,"hertziana,khi,marburg",47769600,http://vocab.getty.edu/aat/300022437,,,,
513,Sandstein,"hertziana,khi,marburg",47350700,http://vocab.getty.edu/aat/300011376,,,,
500,Travertin,"hertziana,khi,marburg",47338100,http://vocab.getty.edu/aat/300011329,,,,
471,Edelstein,"hertziana,khi",47390100,http://vocab.getty.edu/aat/300133732,,,,
425,Feder,"hertziana,khi",,,,,,
409,Perle,"hertziana,khi,marburg",47240600,http://vocab.getty.edu/aat/300011827,,,,
401,Carraramarmor,"hertziana,khi",47366800,http://vocab.getty.edu/aat/300011576,,,,
364,Bütten,"hertziana,khi",,,,,,
354,Backstein,"hertziana,khi",,,,,,
336,Kreide (schwarz),hertziana,,,,,,
327,Wachs,"hertziana,khi,marburg",47238200,http://vocab.getty.edu/aat/300014585,,,,
307,Nussbaumholz,"hertziana,khi,marburg",47619200,http://vocab.getty.edu/aat/300012476,,,,
304,Velin,"hertziana,khi",47217900,http://vocab.getty.edu/aat/300250699,,,,
286,Grisaille,"hertziana,khi",,,,,,
263,Eichenholz,"hertziana,khi,marburg",47632700,http://vocab.getty.edu/aat/300012264,,,,
263,Bleigriffel,"hertziana,khi",47897300,,,,,
257,Goldgrund,"hertziana,khi,marburg",47827400,,http://vocab.getty.edu/aat/300379350,,,
237,Granit,"hertziana,khi,marburg",47380900,http://vocab.getty.edu/aat/300011183,,,,
223,Porphyr,"hertziana,khi",20410065,http://vocab.getty.edu/aat/300011232,,,,
