count,value,sources,authority_id,exactMatch,broadMatch,narrowMatch,closeMatch,relatedMatch
2777,2-figurig,"hertziana,khi,marburg",01200045,,,,,http://vocab.getty.edu/aat/300449117
2691,Lünette,"hertziana,khi",48086500,http://vocab.getty.edu/aat/300003034,,,,
2273,oval,"hertziana,khi",48111400,http://vocab.getty.edu/aat/300263817,,,,
1358,rund,"hertziana,khi",48106600,,,,,http://vocab.getty.edu/aat/300121969
1022,Tondo,"hertziana,khi",48099000,http://vocab.getty.edu/aat/300033622,,,,
916,3-figurig,"hertziana,khi,marburg",01200046,,,,,http://vocab.getty.edu/aat/300449118
860,Nischenfigur,"hertziana,khi",47989100,,http://vocab.getty.edu/aat/300047600;http://vocab.getty.edu/aat/300002704,,,
849,Flachrelief,"hertziana,khi",48003100,http://vocab.getty.edu/aat/300184633,,,,
795,abgerundet (oben),"hertziana,khi,marburg",,,,,,
778,Wandgrab,"hertziana,khi",47947800,,http://vocab.getty.edu/aat/300005926,,,
771,Hochrelief,"hertziana,khi",48002700,http://vocab.getty.edu/aat/300184782,,,,
746,Codex,"hertziana,khi",47937000,http://vocab.getty.edu/aat/300224200,,,,
739,Polyptychon,"hertziana,khi",47997800,http://vocab.getty.edu/aat/300178235,,,,
701,Hochformat,"hertziana,marburg",01200008,http://vocab.getty.edu/aat/300343370,,,,
686,Triptychon,"hertziana,khi",47997400,http://vocab.getty.edu/aat/300178234,,,,
686,rechteckig,"hertziana,khi,marburg",48107400,,,,,http://vocab.getty.edu/aat/300263831
639,basilikal,"hertziana,khi,marburg",48089900,http://vocab.getty.edu/aat/300263215,,,,
615,spitzbogig,"hertziana,khi,marburg",48100800,,,,,http://vocab.getty.edu/aat/300001072
550,rundbogig,"hertziana,khi",48105000,,,,,http://vocab.getty.edu/aat/300001062
507,achteckig,"hertziana,khi,marburg",48137000,http://vocab.getty.edu/aat/300263824,,,,
500,Querformat,"hertziana,khi,marburg",01200022,http://vocab.getty.edu/aat/300311843,,,,
455,dreischiffig,"hertziana,khi",48088900,,,,,http://vocab.getty.edu/aat/300004627
