count,value,sources,authority_id,exactMatch,broadMatch,narrowMatch,closeMatch,relatedMatch
2,Innenausstattung,hertziana,,,,,,
2,elektronische Kunst,hertziana,48813500,http://vocab.getty.edu/aat/300386814,,,,
2,Bauschmuck,hertziana,,,,,,
2,Altar,hertziana,,,,,,
2,Sculptur,hertziana,,,,,,
1,Keramik (Objektgattung),marburg,48817500,http://vocab.getty.edu/aat/300151343,,,,
1,Tuchmalerei,hertziana,48831500,,,,,http://vocab.getty.edu/aat/300264753
1,technisches Gerät,hertziana,,,,,,
1,Sarkophag,hertziana,,,,,,
1,Vasenmalerei,hertziana,48831300,,,,,http://vocab.getty.edu/aat/300033668
1,Panoramafotografie,hertziana,,,,,,
1,Miniatrumalerei,hertziana,,,,,,
1,Einband,hertziana,,,,,,
1,Text,hertziana,,,,,,
1,Weihwasserbecken,hertziana,,,,,,
1,Musikinstrument,hertziana,,,,,,
1,Streetart,hertziana,,,,,,
1,Druck,hertziana,,,,,,
1,Fußbodenmosaik,hertziana,,,,,,
1,Landwirtschaft,hertziana,,,,,,
