count,value,sources,authority_id,exactMatch,broadMatch,narrowMatch,closeMatch,relatedMatch
145943,Zeichnung,"hertziana,khi,marburg",49404200,http://vocab.getty.edu/aat/300033973,,,,
63306,Druck,"hertziana,khi,marburg",49529600,http://vocab.getty.edu/aat/300178549,,,,
44935,Bild,"hertziana,khi,marburg",49545800,,,http://vocab.getty.edu/aat/300033618,http://vocab.getty.edu/aat/300264387,
24655,Wandbild,"hertziana,khi,marburg",49535700,,http://vocab.getty.edu/aat/300033644,,,
22712,Gemälde,"hertziana,khi,marburg",20130435,http://vocab.getty.edu/aat/300033618,,,,
12680,Relief,"hertziana,khi",49437200,http://vocab.getty.edu/aat/300047230,,,,
11040,Statue,"hertziana,khi,marburg",49425700,http://vocab.getty.edu/aat/300047600,,,,
5855,Kirche,"hertziana,khi,marburg",49730400,http://vocab.getty.edu/aat/300007466,,,,
5453,Deckenbild,"hertziana,khi",49541900,,http://vocab.getty.edu/aat/300033644,,,
5045,Zyklus,"hertziana,khi",49397900,http://vocab.getty.edu/aat/300184300,,,,
4836,Rückseite,"hertziana,khi",48145000,http://vocab.getty.edu/aat/300190692,,,,
4790,Bildfeld,"hertziana,khi",49544400,,,,http://vocab.getty.edu/aat/300193636,
4098,Altarbild,"hertziana,khi",48913700,http://vocab.getty.edu/aat/300075940,,,,
3660,Miniatur,"hertziana,khi",49466200,http://vocab.getty.edu/aat/300033936,,,,
3627,Buchseite,"hertziana,khi",49390400,,http://vocab.getty.edu/aat/300194222,,,
3596,Grabmal,"hertziana,khi",48431800,http://vocab.getty.edu/aat/300005909,,,,
3520,Palazzo,"hertziana,khi",49753800,http://vocab.getty.edu/aat/300005512,,,,
3345,Kapitell,"hertziana,khi,marburg",49616700,http://vocab.getty.edu/aat/300001662,,,,
3323,Text,"hertziana,khi",48851900,http://vocab.getty.edu/aat/300263751,,,,http://vocab.getty.edu/aat/300250810
3243,Büste,"hertziana,khi",49533700,http://vocab.getty.edu/aat/300417950,,,,
3101,Vorderseite,"hertziana,khi",48142200,http://vocab.getty.edu/aat/300078817,,,,http://vocab.getty.edu/aat/300190703
2981,Albumblatt,"hertziana,khi",49316400,,http://vocab.getty.edu/aat/300194222;http://vocab.getty.edu/aat/300026690,,,
2764,Entwurf,"hertziana,khi",49527300,http://vocab.getty.edu/aat/300069413,,,,
2605,Retabel,"hertziana,khi,marburg",48905400,http://vocab.getty.edu/aat/300076035,,,,
2604,Studie,"hertziana,khi",49423900,http://vocab.getty.edu/aat/300081053,,,,
2544,Gewölbebild,"hertziana,khi",49540800,,,,http://vocab.getty.edu/aat/300033644,
2505,Statuette,"hertziana,khi,marburg",49425300,http://vocab.getty.edu/aat/300312262,,,,
2360,Skulpturengruppe,"hertziana,khi,marburg",49518600,http://vocab.getty.edu/aat/300400898,,,,
2019,Altar,"hertziana,khi",48915500,http://vocab.getty.edu/aat/300003725,,,,
1877,Initiale,"hertziana,khi",,,,,,
1873,Innenausstattung,"hertziana,khi",20050075,,http://vocab.getty.edu/aat/300037336,,,
1776,Print,"hertziana,khi,marburg",,,,,,
1752,Fassade,"hertziana,khi",49634800,http://vocab.getty.edu/aat/300002526,,,,
1673,Portal,"hertziana,khi,marburg",49610000,http://vocab.getty.edu/aat/300076641,,,,
1586,Medaille,"hertziana,khi",48556000,http://vocab.getty.edu/aat/300046025,,,,
1501,Kapelle,"hertziana,khi,marburg",49739000,http://vocab.getty.edu/aat/300004590,,,,
1430,Stadt,"hertziana,khi",49988400,http://vocab.getty.edu/aat/300008389,,,,
1345,Kruzifix,"hertziana,khi",49482400,http://vocab.getty.edu/aat/300248835,,,,
1320,Buch,"hertziana,khi",49395300,http://vocab.getty.edu/aat/300028051,,,,
1283,Wanddekoration,"hertziana,khi",49581200,http://vocab.getty.edu/aat/300182732,,,,
1256,Skizze,"hertziana,khi",49429000,http://vocab.getty.edu/aat/300015617,,,,
1191,Innenraum,"hertziana,khi",49674000,http://vocab.getty.edu/aat/300078790,,,,
1160,Handschrift,"hertziana,khi",49385500,,,,http://vocab.getty.edu/aat/300028569,
1159,Predella,"hertziana,khi,marburg",48903800,http://vocab.getty.edu/aat/300003745,,,,
1148,Folge,"hertziana,khi",20930008,,,,http://vocab.getty.edu/aat/300027349,
1131,Deckendekoration,"hertziana,khi",49582300,,http://vocab.getty.edu/aat/300182732,,,
1120,Gewölbedekoration,"hertziana,khi",49531600,,http://vocab.getty.edu/aat/300182732,,,
1040,Pendants,"hertziana,khi",49453700,http://vocab.getty.edu/aat/300179422,,,,
972,Saal,"hertziana,khi",49666600,,http://vocab.getty.edu/aat/300004420,,,
880,Platz,"hertziana,khi,marburg",49993000,http://vocab.getty.edu/aat/300008304,,,,
846,Sarkophag,"hertziana,khi",48428900,http://vocab.getty.edu/aat/300005947,,,,
829,Wappen,"hertziana,khi",49416100,http://vocab.getty.edu/aat/300126352,,,,
828,historisierte Initiale,"hertziana,khi",49507500,http://vocab.getty.edu/aat/300194390,,,,
823,Brunnen,"hertziana,khi,marburg",49397700,,,http://vocab.getty.edu/aat/300006179;http://vocab.getty.edu/aat/300152327,,
821,Darstellungsdetail,"hertziana,khi",49533000,,http://vocab.getty.edu/aat/300133138,,,
764,Straße,"hertziana,khi,marburg",49990600,http://vocab.getty.edu/aat/300008247,,,,
764,Glasbild,"hertziana,khi",20930023,,,,http://vocab.getty.edu/aat/300343822;http://vocab.getty.edu/aat/300263722,
724,Reliquiar,"hertziana,khi",48860900,http://vocab.getty.edu/aat/300187549,,,,
723,Tabernakel,"hertziana,khi",48854700,http://vocab.getty.edu/aat/300207778,,,,
712,Klosterkirche,"hertziana,khi",49700700,http://vocab.getty.edu/aat/300007495,,,,
682,Grabplatte,"hertziana,khi",48431400,http://vocab.getty.edu/aat/300185385,,,,
664,Kreuzgang,"hertziana,khi",49699000,http://vocab.getty.edu/aat/300007423,,,,
661,Grundriss,"hertziana,khi",49441300,http://vocab.getty.edu/aat/300034158,,,,
650,Kloster,"hertziana,khi,marburg",49704800,http://vocab.getty.edu/aat/300000641,,,,
643,Wettbewerbsarbeit,hertziana,48153900,,,http://vocab.getty.edu/aat/300034381,,
619,Sitzfigur,"hertziana,khi",49429600,http://vocab.getty.edu/aat/300404835,,,,
