olio su specchio,technique
olio su specchio,material
olio su tavola,technique
olio su tavola,material
olio su tavola trasportata su masonite,technique
olio su tavola trasportata su masonite,material
olio su tavola trasportata su tela,technique
olio su tavola trasportata su tela,material
olio su tela,technique
olio su tela,material
olio su tela applicata su tavola,technique
olio su tela applicata su tavola,material
oro,material
osso,material
ottone,material
pastello su carta,type
pastello su carta,material
pastello su carta applicata su tela,type
pastello su carta applicata su tela,technique
pastello su carta applicata su tela,material
pastello su tela,type
pastello su tela,material
pastiglia,material
pellicola a sviluppo cromogeno,type
pellicola a sviluppo cromogeno,material
peltro,material
penna,material
penna su carta,material
peperino,material
pergamena,material
pergamena applicata su rame,technique
pergamena applicata su rame,material
pergamena applicata su tavola,technique
pergamena applicata su tavola,material
pergamena applicata su tela,technique
pergamena applicata su tela,material
pietra,material
pietra arenaria,material
pietra artificiale,material
pietra caciolfa,material
pietra calcarea,material
pietra d'Istria,material
pietra di Custoza,material
pietra di nanto,material
pietra di paragone,material
pietra di Verona,material
pietra dipinta,technique
pietra dipinta,material
pietra intagliata,technique
pietra intagliata,material
pietra leccese,material
pietra nera su carta,material
pietra rossa su carta,material
pietra scolpita,technique
pietra scolpita,material
pietra serena,material
piombo,material
piperno,material
platinotipia/ carta,type
platinotipia/ carta,material
plexiglass,material
polaroid,type
porcellana,material
porfido,material
punta metallica su carta,technique
punta metallica su carta,material
rame,material
rame argentato,technique
rame argentato,material
rame dorato,technique
rame dorato,material
rame sbalzato,technique
rame sbalzato,material
resine poliestere,material
scagliola,material
selenite,material
seta,material
seta dipinta,technique
seta dipinta,material
seta trasportata su tela,technique
seta trasportata su tela,material
sinopia,type
sinopia,material
smalto,material
stagno,material
stampa a getto d'inchiostro,material
stampa a inchiostro solido,material
stampa a sviluppo cromogeno,material
stampa fotomeccanica,type
stampa fotomeccanica,material
stampa fotomeccanica a mezzatinta,material
stampa fotomeccanica Dupont Cromalin,material
stampa in quadricromia,material
stampa in tricromia,material
stampa laser,material
stoffa,material
stucco,material
stucco dipinto,technique
stucco dipinto,material
stucco dipinto a finto marmo,technique
stucco dipinto a finto marmo,material
stucco dorato,technique
stucco dorato,material
stucco modellato,technique
stucco modellato,material
sughero,material
tavola,technique
tavola,material
tavola trasportata su carta applicata su tela,technique
tavola trasportata su carta applicata su tela,material
tavola trasportata su masonite,technique
tavola trasportata su masonite,material
tavola trasportata su supporto di alluminio,technique
tavola trasportata su supporto di alluminio,material
tavola trasportata su tela,technique
tavola trasportata su tela,material
tela,technique
tela,material
tela applicata su muro,technique
tela applicata su muro,material
tela applicata su tavola,technique
tela applicata su tavola,material
tela di lino,technique
tela di lino,material
tela su tavola,technique
tela su tavola,material
tempera,material
tempera su avorio,material
tempera su carta,material
tempera su carta trasportata su tela,technique
tempera su carta trasportata su tela,material
tempera su cartone,material
tempera su gesso,material
tempera su intonaco,material
tempera su lino,material
tempera su muro,material
tempera su pelle applicata su tavola,technique
tempera su pelle applicata su tavola,material
tempera su pergamena,material
tempera su pergamena applicata su tavola,technique
tempera su pergamena applicata su tavola,material
tempera su seta trasportata su tavola,technique
tempera su seta trasportata su tavola,material
tempera su stoffa,material
tempera trasportata su tela,technique
terracotta a rilievo,technique
terracotta dipinta,technique
terracotta invetriata,technique
terracotta smaltata,technique
terraglia dipinta,technique
tessuto operato,technique
tessuto ricamato,technique
travertino scolpito,technique
tufo scolpito,technique
vetro dipinto,technique
vetro dorato,technique
xilografia,technique
affresco,type
affresco staccato,type
affresco su calce,type
affresco trasportato su pietra,type
affresco trasportato su tavola,type
affresco trasportato su tela,type
albumina/ carta,technique
aristotipo,technique
carboncino su carta,type
carbone/ carta,technique
cianotipo/ carta,technique
cibachrome,technique
cibachrome,type
collotipo/ carta,type
collotipo/ carta,technique
dye diffusion thermal transfer/ carta,technique
dye diffusion thermal transfer/ carta,type
fax/ carta termica,technique
fax/ carta termica,type
fotocopia/ carta,type
fotocopia/ carta,technique
fotoincisione,type
fotoincisione,technique
gelatina ai sali d'argento/ carta baritata,technique
gelatina ai sali d'argento/ carta politenata,technique
gelatina ai sali d'argento/ pellicola,technique
kodachrome,technique
kodachrome,type
litografia,type
litografia,technique
matita su carta,type
pellicola a sviluppo cromogeno,technique
penna,type
penna su carta,type
photochrom,type
