LCDN/PRCD,Type 1,Type 2,Sigla,Vocab,Complex cases,,
Chiesa della Compagnia di S. Sebastiano,B,,,,,,
Chiesa della Concezione,B,,,,,,
Chiesa della Concezione//Chiesa della Madonna,B,,,,,,
Chiesa della Confraternita del Sacramento,B,,,,,,
Chiesa della Croce,B,,,,,,
Chiesa della Disciplina,B,,,,,,
Chiesa della Fraternita,B,,,,,,
Chiesa della Madonna,B,,,,,,
Chiesa della Madonna Bianca,B,,,,,,
Chiesa della Madonna degli Alemanni,B,,,,,,
Chiesa della Madonna degli Angeli,B,,,,,,
Chiesa della Madonna dei Galletti,B,,,,,,
Chiesa della Madonna dei Monti,B,,,,,,
Chiesa della Madonna dei Poveri,B,,,,,,
Chiesa della Madonna del Baraccano,B,,,,,,
Chiesa della Madonna del Buon Consiglio,B,,,,,,
Chiesa della Madonna del Gonfalone,B,,,,,,
Chiesa della Madonna del Latte//Chiesa di S. Maria delle Fontanelle,B,,,,,,
Chiesa della Madonna del Lume,B,,,,,,
Chiesa della Madonna del Piano,B,,,,,,
Chiesa della Madonna del Ponte,B,,,,,,
Chiesa della Madonna del Ranuccio,B,,,,,,
Chiesa della Madonna del Sasso,B,,,,,,
Chiesa della Madonna del Soccorso,B,,,,,,
Chiesa della Madonna del Soccorso//Chiesa della Madonna del Borgo di S. Pietro,B,,,,,,
Chiesa della Madonna del Suffragio,B,,,,,,
Chiesa della Madonna dell'Homo,B,,,,,,
Chiesa della Madonna dell'Icona,B,,,,,,
Chiesa della Madonna dell'Orto,B,,,,,,
Chiesa della Madonna della Catena,B,,,,,,
Chiesa della Madonna della Fiamenga//Chiesa della Madonna dei Cavalieri,B,,,,,,
Chiesa della Madonna della Fiducia (ex chiesa di S. Croce dei Cappuccini),B,,,,,,
Chiesa della Madonna della Grazia,B,,,,,,
Chiesa della Madonna della Luce,B,,,,,,
Chiesa della Madonna della Misericordia//Chiesa della Madonna della Figura,B,,,,,,
Chiesa della Madonna della Neve,B,,,,,,
Chiesa della Madonna della Salute e S. Niccolao,B,,,,,,
Chiesa della Madonna della Steccata,B,,,,,,
Chiesa della Madonna della Villa,B,,,,,,
Chiesa della Madonna delle Grazie,B,,,,,,
Chiesa della Madonna delle Grazie//Icona Passatora,B,,,,,,
Chiesa della Madonna delle Rose,B,,,,,,
Chiesa della Madonna di Galliera,B,,,,,,
Chiesa della Madonna di Kruvenica,B,,,,,,
Chiesa della Madonna di Loreto,B,,,,,,
Chiesa della Madonna di Piantasala,B,,,,,,
Chiesa della Madonna di Piazza,B,,,,,,
Chiesa della Madonna di Pieve a Carli,B,,,,,,
Chiesa della Madonna di Poisan,B,,,,,,
Chiesa della Madonna di S. Nicola,B,,,,,,
Chiesa della Madonna di Viatosto,B,,,,,,
Chiesa della Madonna Manù,B,,,,,,
Chiesa della Madonnina,B,,,,,,
Chiesa della Madre del Buon Consiglio,B,,,,,,
Chiesa della Misericordia,B,,,,,,
Chiesa della Misericordia (ex chiesa di S. Salvatore),B,,,,,,
Chiesa della Misericordia//Chiesa di S. Maria del Prato,B,,,,,,
Chiesa della Morte,B,,,,,,
Chiesa della Natività di Maria SS.,B,,,,,,
Chiesa della Natività di Maria Vergine,B,,,,,,
Chiesa della Nunziatella,B,,,,,,
Chiesa della Pietà (ex),B,,,,,,
Chiesa della Pietà dei Turchini,B,,,,,,
Chiesa della Presentazione di Maria al Tempio della Scorziata,B,,,,,,
Chiesa della Rocca di Galliera,B,,,,,,
Chiesa della Sacra Famiglia,B,,,,,,
Chiesa della Sacra Famiglia e S. Quirico,B,,,,,,
Chiesa della Sanità//Chiesa dei Cappuccini,B,,,,,,
Chiesa della Sava,B,,,,,,
Chiesa della Serra//Chiesa di S. Gregorio,B,,,,,,
Chiesa della SS. Annunziata,B,,,,,,
Chiesa della SS. Annunziata dei Catalani,B,,,,,,
Chiesa della SS. Annunziata del Vastato,B,,,,,,
Chiesa della SS. Annunziata e di S. Giovanni Battista,B,,,,,,
Chiesa della SS. Concezione,B,,,,,,
Chiesa della SS. Trinità,B,,,,,,
Chiesa della SS. Trinità degli Spagnoli,B,,,,,,
Chiesa della SS. Trinità dei Pellegrini,B,,,,,,
Chiesa della SS. Trinità e S. Marziano,B,,,,,,
Chiesa della SS. Trinità e S. Mustiola,B,,,,,,
Chiesa della SS. Trinità fuori porta S. Girolamo,B,,,,,,
Chiesa della Trasfigurazione,B,,,,,,
Chiesa della Triade,B,,,,,,
Chiesa della Trinità dei Monti,B,,,,,,
Chiesa della Vergine della Misericordia//Chiesa della Beata Giovanna,B,,,,,,
Chiesa della Visitazione della Beata Vergine Maria,B,,,,,,
Chiesa delle Clarisse,B,,,,,,
Chiesa delle Convertite,B,,,,,,
Chiesa delle Dodici Marie,B,,,,,,
Chiesa delle Orsoline,B,,,,,,
Chiesa delle Petrine,B,,,,,,
Chiesa delle SS. Flora e Lucilla,B,,,,,,
Chiesa delle SS. Stimmate di S. Francesco,B,,,,,,
Chiesa dello Spasimo,B,,,,,,
Chiesa dello Spirito Santo,B,,,,,,
Chiesa di Badia,B,,,,,,
Chiesa di Badia (ex chiesa delle SS. Flora e Lucilla),B,,,,,,
Chiesa di Cristo Re,B,,,,,,
Chiesa di Gesù e Maria,B,,,,,,
Chiesa di Maria SS. Annunziata,B,,,,,,
Chiesa di Maria SS. Annunziata (Duomo),B,,,,,,
Chiesa di Maria SS. della Misericordia,B,,,,,,
Chiesa di Monisterino,B,,,,,,
Chiesa di Monte Siepi,B,,,,,,
Chiesa di Monteoliveto//Chiesa di S. Anna dei Lombardi,B,,,,,,
Chiesa di Montevergine,B,,,,,,
Chiesa di Nostra Signora del Sacro Cuore (ex Chiesa di S. Giacomo degli Spagnoli),B,,,,,,
Chiesa di Nostra Signora del Sacro Cuore (già S. Giacomo degli Spagnoli),B,,,,,,
Chiesa di Nostra Signora della Consolazione e S. Vincenzo,B,,,,,,
Chiesa di Ognissanti,B,,,,,,
Chiesa di Pergola,B,,,,,,
Chiesa di Regina Coeli,B,,,,,,
Chiesa di S. Abbondio,B,,,,,,
Chiesa di S. Adriano,B,,,,,,
Chiesa di S. Adriano al Foro,B,,,,,,
Chiesa di S. Afra in S. Eufemia,B,,,,,,
Chiesa di S. Agata,B,,,,,,
Chiesa di S. Agata dei Goti,B,,,,,,
Chiesa di S. Agata Maggiore,B,,,,,,
Chiesa di S. Agnello Maggiore//Chiesa di S. Aniello a Caponapoli,B,,,,,,
Chiesa di S. Agnese,B,,,,,,
Chiesa di S. Agnese a Vignano,B,,,,,,
Chiesa di S. Agnese in Agone,B,,,,,,
Chiesa di S. Agostino,B,,,,,,
Chiesa di S. Agostino (ex),B,,,,,,
Chiesa di S. Agostino alla Zecca//Chiesa di S. Agostino Maggiore,B,,,,,,
Chiesa di S. Agostino degli Scalzi,B,,,,,,
Chiesa di S. Aldebrando,B,,,,,,
Chiesa di S. Alessandro,B,,,,,,
Chiesa di S. Alessandro della Croce,B,,,,,,
Chiesa di S. Alessandro in Colonna,B,,,,,,
Chiesa di S. Alessio,B,,,,,,
Chiesa di S. Alvise,B,,,,,,
Chiesa di S. Ambrogio,B,,,,,,
Chiesa di S. Anastasia,B,,,,,,
Chiesa di S. Anastasio,B,,,,,,
Chiesa di S. Anatolia,B,,,,,,
Chiesa di S. Andrea,B,,,,,,
Chiesa di S. Andrea a Brozzi,B,,,,,,
Chiesa di S. Andrea a Camoggiano,B,,,,,,
Chiesa di S. Andrea a Cennano,B,,,,,,
Chiesa di S. Andrea a Montecchio,B,,,,,,
Chiesa di S. Andrea a Rovezzano,B,,,,,,
Chiesa di S. Andrea al Lido,B,,,,,,
Chiesa di S. Andrea al Quirinale,B,,,,,,
Chiesa di S. Andrea Apostolo,B,,,,,,
Chiesa di S. Andrea Corsini a Gaviserri,B,,,,,,
Chiesa di S. Andrea del Collegio Scozzese,B,,,,,,
Chiesa di S. Andrea della Certosa,B,,,,,,
Chiesa di S. Andrea della Valle,B,,,,,,
Chiesa di S. Andrea delle Fratte,B,,,,,,
Chiesa di S. Andrea in via Flaminia,B,,,,,,
Chiesa di S. Andrea in Vineis,B,,,,,,
Chiesa di S. Andreino,B,,,,,,
Chiesa di S. Angela Merici (ex chiesa di S. Afra),B,,,,,,
Chiesa di S. Angelo,B,,,,,,
Chiesa di S. Angelo a Legnaia,B,,,,,,
Chiesa di S. Angelo a Nilo,B,,,,,,
Chiesa di S. Angelo de Gilibertis (ex),B,,,,,,
Chiesa di S. Angelo in Barreggio,B,,,,,,
Chiesa di S. Angelo in Pescheria,B,,,,,,
Chiesa di S. Angelo in Spatha,B,,,,,,
Chiesa di S. Angelo in Vico l'Abate,B,,,,,,
Chiesa di S. Angelo Infra Ostia,B,,,,,,
Chiesa di S. Angelo Magno,B,,,,,,
Chiesa di S. Angelo Minore,B,,,,,,
Chiesa di S. Angelo//Chiesa di S. Maria Maggiore,B,,,,,,
Chiesa di S. Angelo//Chiesa di S. Michele Arcangelo,B,,,,,,
Chiesa di S. Anna,B,,,,,,
Chiesa di S. Ansano,B,,,,,,
Chiesa di S. Ansano a Dofana,B,,,,,,
Chiesa di S. Antimo,B,,,,,,
Chiesa di S. Antonin,B,,,,,,
Chiesa di S. Antonino,B,,,,,,
Chiesa di S. Antonio,B,,,,,,
Chiesa di S. Antonio a Castello,B,,,,,,
Chiesa di S. Antonio Abate,B,,,,,,
Chiesa di S. Antonio Abate (ex),B,,,,,,
Chiesa di S. Antonio al Monte,B,,,,,,
Chiesa di S. Antonio alla Motta,B,,,,,,
Chiesa di S. Antonio dei Portoghesi,B,,,,,,
Chiesa di S. Antonio di Padova,B,,,,,,
Chiesa di S. Antonio di Savena,B,,,,,,
Chiesa di S. Antonio di Vienne,B,,,,,,
Chiesa di S. Apollinare,B,,,,,,
Chiesa di S. Apollinare Nuovo,B,,,,,,
Chiesa di S. Apollonia,B,,,,,,
Chiesa di S. Aspreno ai Crociferi,B,,,,,,
Chiesa di S. Atanasio,B,,,,,,
Chiesa di S. Balbina,B,,,,,,
Chiesa di S. Barbara,B,,,,,,
Chiesa di S. Barbara dei Librai,B,,,,,,
Chiesa di S. Barbaziano,B,,,,,,
Chiesa di S. Barnaba,B,,,,,,
Chiesa di S. Baronto,B,,,,,,
Chiesa di S. Bartolomeo,B,,,,,,
Chiesa di S. Bartolomeo a Faltignano,B,,,,,,
Chiesa di S. Bartolomeo a Monastero,B,,,,,,
Chiesa di S. Bartolomeo a Palazzuolo,B,,,,,,
Chiesa di S. Bartolomeo a Quarate,B,,,,,,
Chiesa di S. Bartolomeo all'Isola,B,,,,,,
Chiesa di S. Bartolomeo Apostolo,B,,,,,,
Chiesa di S. Bartolomeo degli Armeni,B,,,,,,
Chiesa di S. Bartolomeo del Fossato,B,,,,,,
Chiesa di S. Bartolomeo di Marano,B,,,,,,
Chiesa di S. Bartolomeo in Pantano,B,,,,,,
Chiesa di S. Bartolomeo in Tuto,B,,,,,,
Chiesa di S. Bartolomeo in Tuto (ex),B,,,,,,
Chiesa di S. Bartolomio,B,,,,,,
Chiesa di S. Basilio,B,,,,,,
Chiesa di S. Basilio degli Ermini,B,,,,,,
Chiesa di S. Bassano,B,,,,,,
Chiesa di S. Benedetto,B,,,,,,
Chiesa di S. Benedetto Bianco,B,,,,,,
Chiesa di S. Beneto,B,,,,,,
Chiesa di S. Benigno,B,,,,,,
Chiesa di S. Bernardino,B,,,,,,
Chiesa di S. Bernardino ai Monti,B,,,,,,
Chiesa di S. Bernardino alle Ossa,B,,,,,,
Chiesa di S. Bernardino da Siena,B,,,,,,
Chiesa di S. Bernardino degli Zoccolanti,B,,,,,,
Chiesa di S. Bernardino in Borgo Canale,B,,,,,,
Chiesa di S. Bernardino in Pignolo,B,,,,,,
Chiesa di S. Bernardo,B,,,,,,
Chiesa di S. Bernardo al Foro Traiano,B,,,,,,
Chiesa di S. Bernardo alle Terme,B,,,,,,
Chiesa di S. Bevignate,B,,,,,,
Chiesa di S. Biagio,B,,,,,,
Chiesa di S. Biagio a Cusona,B,,,,,,
Chiesa di S. Biagio a Petriolo,B,,,,,,
Chiesa di S. Biagio ai Forni,B,,,,,,
Chiesa di S. Biagio in Caprile,B,,,,,,
Chiesa di S. Biagio in Cisanello,B,,,,,,
Chiesa di S. Bibiana,B,,,,,,
Chiesa di S. Bonaventura,B,,,,,,
Chiesa di S. Brigida,B,,,,,,
Chiesa di S. Brizio,B,,,,,,
Chiesa di S. Callisto,B,,,,,,
Chiesa di S. Carlino,B,,,,,,
Chiesa di S. Carlo,B,,,,,,
Chiesa di S. Carlo ai Catinari,B,,,,,,
Chiesa di S. Carlo alle Mortelle,B,,,,,,
Chiesa di S. Carlo alle Quattro Fontane,B,,,,,,
Chiesa di S. Carlo dei Carmelitani Scalzi,B,,,,,,
Chiesa di S. Carlo dei Lombardi,B,,,,,,
Chiesa di S. Cassiano,B,,,,,,
Chiesa di S. Cataldo,B,,,,,,
Chiesa di S. Caterina,B,,,,,,
Chiesa di S. Caterina a Formiello,B,,,,,,
Chiesa di S. Caterina a Magnanapoli,B,,,,,,
Chiesa di S. Caterina d'Alessandria,B,,,,,,
Chiesa di S. Caterina d'Italia,B,,,,,,
Chiesa di S. Caterina da Siena,B,,,,,,
Chiesa di S. Caterina dei Funari,B,,,,,,
Chiesa di S. Caterina dei Servi di Maria,B,,,,,,
Chiesa di S. Caterina della Rota,B,,,,,,
Chiesa di S. Caterina di Saragozza,B,,,,,,
Chiesa di S. Caterina di Strada Maggiore,B,,,,,,
Chiesa di S. Caterina in Fontebranda,B,,,,,,
Chiesa di S. Caterina in Villa,B,,,,,,
Chiesa di S. Caterina Valverde,B,,,,,,
Chiesa di S. Cecilia,B,,,,,,
Chiesa di S. Cerbone,B,,,,,,
Chiesa di S. Cesareo de Appia//Chiesa di S. Cesareo in Palatio,B,,,,,,
Chiesa di S. Cesario,B,,,,,,
Chiesa di S. Cesidio,B,,,,,,
Chiesa di S. Chiara,B,,,,,,
Chiesa di S. Chiara (ex),B,,,,,,
Chiesa di S. Chiara al Quirinale,B,,,,,,
Chiesa di S. Chiara delle Cappuccine,B,,,,,,
Chiesa di S. Chiara delle Murate,B,,,,,,
Chiesa di S. Chiara//Chiesa di S. Agostino,B,,,,,,
Chiesa di S. Ciro//Chiesa Madre,B,,,,,,
Chiesa di S. Cita,B,,,,,,
Chiesa di S. Claudio,B,,,,,,
Chiesa di S. Clemente,B,,,,,,
Chiesa di S. Clemente a Sociana,B,,,,,,
Chiesa di S. Colombano,B,,,,,,
Chiesa di S. Colombano (ex),B,,,,,,
Chiesa di S. Colombano a Settimo,B,,,,,,
Chiesa di S. Colombano Abate,B,,,,,,
Chiesa di S. Corona,B,,,,,,
Chiesa di S. Cosimato,B,,,,,,
Chiesa di S. Costanzo,B,,,,,,
Chiesa di S. Crisanto a Patrico,B,,,,,,
Chiesa di S. Crisogono,B,,,,,,
Chiesa di S. Crispolto,B,,,,,,
Chiesa di S. Cristina,B,,,,,,
Chiesa di S. Cristina a Pagnana,B,,,,,,
Chiesa di S. Cristina a Pancole,B,,,,,,
Chiesa di S. Cristina la Vetere,B,,,,,,
Chiesa di S. Cristina Vergine e Martire,B,,,,,,
Chiesa di S. Cristofano a Novoli,B,,,,,,
Chiesa di S. Cristoforo,B,,,,,,
Chiesa di S. Cristoforo a Perticaia,B,,,,,,
Chiesa di S. Cristoforo sul Naviglio,B,,,,,,
Chiesa di S. Croce,B,,,,,,
Chiesa di S. Croce della Foce,B,,,,,,
Chiesa di S. Croce e S. Bonaventura dei Lucchesi,B,,,,,,
Chiesa di S. Croce in Fossabanda,B,,,,,,
Chiesa di S. Dalmazzo,B,,,,,,
Chiesa di S. Damiano,B,,,,,,
Chiesa di S. Daniele,B,,,,,,
Chiesa di S. Decenzio,B,,,,,,
Chiesa di S. Desiderio (ex),B,,,,,,
Chiesa di S. Dionigi,B,,,,,,
Chiesa di S. Dionigi alle Quattro Fontane,B,,,,,,
Chiesa di S. Domenico,B,,,,,,
Chiesa di S. Domenico (ex),B,,,,,,
Chiesa di S. Domenico del Maglio,B,,,,,,
Chiesa di S. Domenico Maggiore,B,,,,,,
Chiesa di S. Domenico//Chiesa di S. Maria del Mercato,B,,,,,,
Chiesa di S. Donato,B,,,,,,
Chiesa di S. Donato a Scopeto,B,,,,,,
Chiesa di S. Donato a Torri,B,,,,,,
Chiesa di S. Donato Abate,B,,,,,,
Chiesa di S. Donato in Polverosa,B,,,,,,
Chiesa di S. Donnino,B,,,,,,
Chiesa di S. Donnino a Brozzi,B,,,,,,
Chiesa di S. Donnino in S. Giusto,B,,,,,,
Chiesa di S. Doroteo Abate,B,,,,,,
Chiesa di S. Edoardo,B,,,,,,
Chiesa di S. Efremo Nuovo,B,,,,,,
Chiesa di S. Egidio,B,,,,,,
Chiesa di S. Egidio Abate,B,,,,,,
Chiesa di S. Elena,B,,,,,,
Chiesa di S. Eligio degli Orefici,B,,,,,,
Chiesa di S. Eligio dei Ferrari,B,,,,,,
Chiesa di S. Elisabetta alla Conca,B,,,,,,
Chiesa di S. Elisabetta delle Convertite,B,,,,,,
Chiesa di S. Elisabetta di Ungheria,B,,,,,,
Chiesa di S. Elpidio,B,,,,,,
Chiesa di S. Emidio,B,,,,,,
Chiesa di S. Ermete,B,,,,,,
Chiesa di S. Eufemia,B,,,,,,
Chiesa di S. Eufemia prepositurale,B,,,,,,
Chiesa di S. Eufrasia,B,,,,,,
Chiesa di S. Eugenia,B,,,,,,
Chiesa di S. Eugenio,B,,,,,,
Chiesa di S. Eusebio,B,,,,,,
Chiesa di S. Eustachio,B,,,,,,
Chiesa di S. Eustorgio,B,,,,,,
Chiesa di S. Facondino,B,,,,,,
Chiesa di S. Fantin,B,,,,,,
Chiesa di S. Fede,B,,,,,,
Chiesa di S. Fedele,B,,,,,,
Chiesa di S. Felice,B,,,,,,
Chiesa di S. Felice a Ema,B,,,,,,
Chiesa di S. Felice di Narco,B,,,,,,
Chiesa di S. Felice in Piazza,B,,,,,,
Chiesa di S. Felicissimo,B,,,,,,
Chiesa di S. Felicita,B,,,,,,
Chiesa di S. Fermo in Cortalta,B,,,,,,
Chiesa di S. Fermo Maggiore,B,,,,,,
"Chiesa di S. Fermo Maggiore, Chiesa superiore",B,B,,,,,
Chiesa di S. Fidenzio,B,,,,,,
Chiesa di S. Filippo,B,,,,,,
Chiesa di S. Filippo Neri,B,,,,,,
Chiesa di S. Filippo//Chiesa dell'Immacolata,B,,,,,,
Chiesa di S. Fiorenzo,B,,,,,,
Chiesa di S. Flaviano,B,,,,,,
Chiesa di S. Floriano,B,,,,,,
Chiesa di S. Fortunato,B,,,,,,
Chiesa di S. Fosca,B,,,,,,
Chiesa di S. Francesca Romana,B,,,,,,
Chiesa di S. Francesca Romana//Chiesa di S. Maria Nova,B,,,,,,
Chiesa di S. Francesco,B,,,,,,
Chiesa di S. Francesco (ex),B,,,,,,
Chiesa di S. Francesco a Ganghereto,B,,,,,,
Chiesa di S. Francesco a Ripa,B,,,,,,
Chiesa di S. Francesco ad Alto,B,,,,,,
Chiesa di S. Francesco al Monte,B,,,,,,
Chiesa di S. Francesco al Palco,B,,,,,,
Chiesa di S. Francesco al Prato,B,,,,,,
Chiesa di S. Francesco all'Alberino,B,,,,,,
Chiesa di S. Francesco d'Assisi,B,,,,,,
Chiesa di S. Francesco della Scarpa,B,,,,,,
Chiesa di S. Francesco della Vigna,B,,,,,,
Chiesa di S. Francesco delle Monache,B,,,,,,
Chiesa di S. Francesco delle Scale,B,,,,,,
Chiesa di S. Francesco di Castelletto,B,,,,,,
Chiesa di S. Francesco di Monteripido,B,,,,,,
Chiesa di S. Francesco di Paola,B,,,,,,
Chiesa di S. Francesco di Stampace,B,,,,,,
Chiesa di S. Francesco Grande,B,,,,,,
Chiesa di S. Francesco in Monte Santo,B,,,,,,
Chiesa di S. Francesco in Rovereto,B,,,,,,
Chiesa di S. Francesco in S. Agnese,B,,,,,,
Chiesa di S. Francesco Saverio,B,,,,,,
Chiesa di S. Frediano,B,,,,,,
Chiesa di S. Frediano in Cestello,B,,,,,,
Chiesa di S. Gaetano,B,,,,,,
Chiesa di S. Gaudenzio,B,,,,,,
Chiesa di S. Geminiano,B,,,,,,
Chiesa di S. Gennaro alla Solfatara,B,,,,,,
Chiesa di S. Giacomo,B,,,,,,
Chiesa di S. Giacomo alla Pigna,B,,,,,,
Chiesa di S. Giacomo Apostolo//Chiesa di S. Domenico,B,,,,,,
Chiesa di S. Giacomo degli Spagnoli,B,,,,,,
Chiesa di S. Giacomo dell'Orio,B,,,,,,
Chiesa di S. Giacomo fuori le mura,B,,,,,,
Chiesa di S. Giacomo in Augusta,B,,,,,,
Chiesa di S. Giacomo in Settignano,B,,,,,,
Chiesa di S. Giacomo Maggiore,B,,,,,,
Chiesa di S. Giminiano,B,,,,,,
Chiesa di S. Gioacchino,B,,,,,,
Chiesa di S. Giobbe,B,,,,,,
Chiesa di S. Giorgio,B,,,,,,
Chiesa di S. Giorgio a Ruballa,B,,,,,,
Chiesa di S. Giorgio al Palazzo,B,,,,,,
Chiesa di S. Giorgio alla Costa,B,,,,,,
Chiesa di S. Giorgio dei Genovesi,B,,,,,,
Chiesa di S. Giorgio di Campochiesa,B,,,,,,
Chiesa di S. Giorgio in Braida,B,,,,,,
Chiesa di S. Giorgio in Poggiale,B,,,,,,
Chiesa di S. Giorgio in Velabro,B,,,,,,
Chiesa di S. Giorgio Maggiore,B,,,,,,
Chiesa di S. Giovanni,B,,,,,,
Chiesa di S. Giovanni a Carbonara,B,,,,,,
Chiesa di S. Giovanni a Mare,B,,,,,,
Chiesa di S. Giovanni a Porta Latina,B,,,,,,
Chiesa di S. Giovanni ai Campi,B,,,,,,
Chiesa di S. Giovanni alla Vena,B,,,,,,
Chiesa di S. Giovanni Apostolo ed Evangelista,B,,,,,,
Chiesa di S. Giovanni Battista,B,,,,,,
Chiesa di S. Giovanni Battista (?),B,,,,,,
Chiesa di S. Giovanni Battista a Campriano,B,,,,,,
Chiesa di S. Giovanni Battista Decollato//Chiesa di S. Giovannino dei Cavalieri,B,,,,,,
Chiesa di S. Giovanni Battista dei Camaldolesi,B,,,,,,
Chiesa di S. Giovanni Battista dei Carmelitani,B,,,,,,
Chiesa di S. Giovanni Battista dei Celestini,B,,,,,,
Chiesa di S. Giovanni Battista dei Genovesi,B,,,,,,
Chiesa di S. Giovanni Battista della Calza,B,,,,,,
Chiesa di S. Giovanni Battista delle Monache,B,,,,,,
Chiesa di S. Giovanni Battista//Chiesa dell'Autostrada,B,,,,,,
Chiesa di S. Giovanni Calibita,B,,,,,,
Chiesa di S. Giovanni Crisostomo,B,,,,,,
Chiesa di S. Giovanni Decollato,B,,,,,,
Chiesa di S. Giovanni Decollato (ex),B,,,,,,
Chiesa di S. Giovanni dei Cavalieri,B,,,,,,
Chiesa di S. Giovanni dei Cavalieri di Malta,B,,,,,,
Chiesa di S. Giovanni dei Fiorentini,B,,,,,,
Chiesa di S. Giovanni dei Frati,B,,,,,,
Chiesa di S. Giovanni dei Tartari,B,,,,,,
Chiesa di S. Giovanni del Toro,B,,,,,,
Chiesa di S. Giovanni dell'Acqua,B,,,,,,
Chiesa di S. Giovanni della Malva,B,,,,,,
Chiesa di S. Giovanni di Dio,B,,,,,,
Chiesa di S. Giovanni di Panaria,B,,,,,,
Chiesa di S. Giovanni di Pré,B,,,,,,
Chiesa di S. Giovanni di Verdara,B,,,,,,
Chiesa di S. Giovanni Elemosinario,B,,,,,,
Chiesa di S. Giovanni Evangelista,B,,,,,,
Chiesa di S. Giovanni Evangelista//Chiesa della Madonna delle Grazie,B,,,,,,
Chiesa di S. Giovanni Evangelista//Chiesa di S. Giovannino degli Scolopi,B,,,,,,
Chiesa di S. Giovanni Fuorcivitas,B,,,,,,
Chiesa di S. Giovanni in Bragora,B,,,,,,
Chiesa di S. Giovanni in Conca,B,,,,,,
Chiesa di S. Giovanni in Fonte,B,,,,,,
Chiesa di S. Giovanni in Monte,B,,,,,,
Chiesa di S. Giovanni in Monterrone,B,,,,,,
Chiesa di S. Giovanni in Petra,B,,,,,,
Chiesa di S. Giovanni in Zoccoli,B,,,,,,
Chiesa di S. Giovanni Novo,B,,,,,,
Chiesa di S. Giovannino//Chiesa di S. Giovanni Battista della Staffa,B,,,,,,
Chiesa di S. Giovenale,B,,,,,,
Chiesa di S. Girolamo,B,,,,,,
Chiesa di S. Girolamo degli Illirici,B,,,,,,
Chiesa di S. Girolamo della Carità,B,,,,,,
Chiesa di S. Girolamo delle Poverine,B,,,,,,
Chiesa di S. Girolamo di Miramonte,B,,,,,,
Chiesa di S. Girolamo di Quarto,B,,,,,,
Chiesa di S. Girolamo fuori le Mura,B,,,,,,
Chiesa di S. Giulia,B,,,,,,
Chiesa di S. Giulia e del SS. Sacramento,B,,,,,,
Chiesa di S. Giuliana,B,,,,,,
Chiesa di S. Giuliano,B,,,,,,
Chiesa di S. Giuliano delle Pignatte (ex),B,,,,,,
"Chiesa di S. Giuliano, Convento delle Suore Calasanziane",B,B,,,,,
Chiesa di S. Giulio,B,,,,,,
Chiesa di S. Giuseppe,B,,,,,,
Chiesa di S. Giuseppe (ex chiesa di S. Biagio),B,,,,,,
Chiesa di S. Giuseppe a Chiaia,B,,,,,,
Chiesa di S. Giuseppe Calasanzio,B,,,,,,
Chiesa di S. Giuseppe da Copertino//Chiesa di S. Francesco,B,,,,,,
Chiesa di S. Giuseppe dei Falegnami,B,,,,,,
Chiesa di S. Giusta,B,,,,,,
Chiesa di S. Giustina,B,,,,,,
Chiesa di S. Giusto,B,,,,,,
Chiesa di S. Giusto a Signano,B,,,,,,
Chiesa di S. Giusto a Villore,B,,,,,,
Chiesa di S. Giusto alle Mura,B,,,,,,
Chiesa di S. Giusto e S. Clemente a Faltugnano,B,,,,,,
Chiesa di S. Godenzo,B,,,,,,
Chiesa di S. Gottardo,B,,,,,,
Chiesa di S. Gottardo in Corte,B,,,,,,
Chiesa di S. Gregorio,B,,,,,,
Chiesa di S. Gregorio Armeno,B,,,,,,
Chiesa di S. Gregorio della Divina Pietà,B,,,,,,
Chiesa di S. Gregorio Maggiore,B,,,,,,
Chiesa di S. Gregorio Maggiore (?),B,,,,,,
Chiesa di S. Gregorio Magno,B,,,,,,
Chiesa di S. Gregorio Magno al Celio,B,,,,,,
"Chiesa di S. Gregorio Magno, Oratorio di S. Andrea",B,B,,,,,
"Chiesa di S. Gregorio Magno, Oratorio di S. Silvia",B,B,,,,,
Chiesa di S. Gregorio Nazianzeno,B,,,,,,
Chiesa di S. Ignazio,B,,,,,,
Chiesa di S. Ignazio all'Olivella,B,,,,,,
Chiesa di S. Ilario,B,,,,,,
Chiesa di S. Illuminata,B,,,,,,
Chiesa di S. Imerio,B,,,,,,
Chiesa di S. Innocenzo,B,,,,,,
Chiesa di S. Ippolito,B,,,,,,
Chiesa di S. Isidoro,B,,,,,,
Chiesa di S. Jacopo,B,,,,,,
Chiesa di S. Jacopo a Orticaia,B,,,,,,
Chiesa di S. Jacopo a Voltiggiano,B,,,,,,
Chiesa di S. Jacopo ad Avane,B,,,,,,
Chiesa di S. Jacopo de' Fossi,B,,,,,,
Chiesa di S. Jacopo in Campo Corbolini (ex),B,,,,,,
Chiesa di S. Jacopo Maggiore,B,,,,,,
Chiesa di S. Jacopo sopr' Arno,B,,,,,,
Chiesa di S. Jacopo sopr'Arno,B,,,,,,
Chiesa di S. Lazzaro,B,,,,,,
Chiesa di S. Lazzaro degli Armeni,B,,,,,,
Chiesa di S. Lazzaro dei Mendicanti,B,,,,,,
Chiesa di S. Leo,B,,,,,,
Chiesa di S. Leonardo,B,,,,,,
Chiesa di S. Leonardo al Lago,B,,,,,,
Chiesa di S. Leonardo delle Carceri,B,,,,,,
