LCDN/PRCD,Type 1,Type 2,Sigla,Vocab,Complex cases,,
"Ajmanov grad, collezione J. Demsar",B,C,,,,,
Akademisches Kunstmuseum der Universität,M,,,,,,
Akron Institute,M,,,,,,
Albergo dei Poveri (ex),B,,,,,,
Albert Loeb Gallery,A,,,,,,
Albertina Museum,M,,,,,,
Albrighi,A,,,,,,
Albrighi (?),A,,,,,,
Albright-Knox Art Gallery,M,,,,,,
Aldo Fina Antichità,A,,,,,,
Alessandro Orsi,A,,,,,,
Alexander City Public Library,M,,,,,,
Alford House-Anderson Fine Arts Centre,M,,,,,,
Algranti,A,,,,,,
All Saints Church,B,,,,,,
All Souls College,B,,,,,,
All'Angolo dell'Antichità,A,,,,,,
Allegri,A,,,,,,
Allen Memorial Art Museum,M,,,,,,
Allentown Art Museum,M,,,,,,
"Allianz S.p.A., Pinacoteca ""Giorgio Irneri""",M,,,,,,
"Allington Castle, collezione Lord W.M. Conway",B,C,,,,,
"Alnwick Castle, collezione duca di Northumberland",B,C,,,,,
"Alte Nationalgalerie, Staaliche Museen zu Berlin",M,,,,,,
"Alte Pinakothek, Bayerische Staatsgemäldesammlungen",M,,,,,,
Alte Schloss Schleissheim,B,,,,,,
Altes Schloss Eremitage,B,,,,,,
Althunian,A,,,,,,
Altomani & Co.,A,,,,,,
"Alton Towers, collezione conte di Shrewsbury",B,C,,,,,
Ambasciata d'Austria,B,,,,,,
Ambasciata d'Egitto,B,,,,,,
Ambasciata d'Italia,B,,,,,,
Ambasciata di Spagna,B,,,,,,
Ambasciata di Svizzera,B,,,,,,
Ambasciata tedesca,B,,,,,,
American Art Galleries (?),AH,,,,,,
"Andrew Dickson White Museum of Art, Cornell University",M,,,,,,
Anglican Foundation of Garden City,M,,,,,,
Anthony Post,A,,,,,,
Antichità Botticelli,A,,,,,,
Antichità Caiati,A,,,,,,
Antichità Pozzallo,A,,,,,,
Antiquarium,M,,,,,,
Antiquarium Arborense,M,,,,,,
Antiquarium Comunale,M,,,,,,
Antiquus,A,,,,,,
Antonacci,A,,,,,,
Antonio Grandi,A,,,,,,
Apolloni,A,,,,,,
Apolloni-Antonacci,A,,,,,,
Appleby,A,,,,,,
"Apsley House, collezione duca di Wellington",B,C,,,,,
Arbury Hall,B,,,,,,
Arcade Gallery,M,,,,,,
Archivio di Stato,B,,,,,,
Archivio di Stato (ex monastero dei SS. Severino e Sossio),B,,,,,,
Archivio notarile,B,,,,,,
Arciconfraternita dei SS. Ambrogio e Carlo,B,,,,,,
Arciconfraternita della Misericordia,B,,,,,,
Arcispedale di S. Maria Nuova,B,,,,,,
Arcivescovado,B,,,,,,
Arco della Vittoria,B,,,,,,
Arco delle Due Porte,B,,,,,,
Arizona State University Art Museum,M,,,,,,
Armondi,A,,,,,,
"Arnold Seligmann, Rey & Co",A,,,,,,
Arnold W. Agambar,A,,,,,,
Arnot Gallery,M,,,,,,
Arp Museum Bahnhof Rolandseck,M,,,,,,
Arsenale,B,,,,,,
Art Association Gallery,M,,,,,,
Art Association of Newport,M,,,,,,
"Art Department, Ashland College",M,,,,,,
Art Gallery of Greater Victoria,M,,,,,,
Art Gallery of New South Wales,M,,,,,,
Art Gallery of Ontario,M,,,,,,
Art Gallery of South Australia,M,,,,,,
Art Gallery of Western Australia,M,,,,,,
Art Institute,M,,,,,,
Art Institute of Zanesville,M,,,,,,
Arte dei Maestri di Pietra e Legname,C,,,,,,
Arte del Cambio,C,,,,,,
Artemis Fine Arts Ltd. and Newhouse Galleries,A,,,,,,
Artemisia-Arte Antica,A,,,,,,
Arthur Tooth & Sons,A,,,,,,
Artvest,A,,,,,,
Arud Gallery,A,,,,,,
Arundel Cathedral,B,,,,,,
"Ascott House, Collezione Antony de Rothschild (National Trust)",B,C,,,,,
"Ashburnham Place, collezione Ashburnham",B,C,,,,,
Ashmolean Museum of Art and Archeology,M,,,,,,
Asilo dell'Assunta,B,,,,,,
Asscher and Welker,A,,,,,,
Asta,AH,,,,,,
Asta Accademia Fine Art,AH,,,,,,
Asta Ader Picard Tajan,AH,,,,,,
Asta Ader Tajan,AH,,,,,,
Asta Algranti,AH,,,,,,
Asta American Art Association,AH,,,,,,
