id,uri
.b10125553,https://artresearch.net/resource/pharos/artwork/4738023651d63469ac012bdd052aab79da4b57d6
.b10125504,https://artresearch.net/resource/pharos/artwork/50cb38ae3cda44850ac4cc8b72b8d2165a671a9c
.b10125541,https://artresearch.net/resource/pharos/artwork/515bff6280b90312d5153ad9068a166161cf79ce
.b10125462,https://artresearch.net/resource/pharos/artwork/5cafaebc1102f3e0cec058ae135df73ba38d3674
.b10125498,https://artresearch.net/resource/pharos/artwork/58ce2d972ce3d824770b348a44921a77cdd0737a
.b10125516,https://artresearch.net/resource/pharos/artwork/74bf51d9cdfc2156c4b0e2cc3b9fa13b65787afc
.b10125486,https://artresearch.net/resource/pharos/artwork/bca007902ebd78e3ed98495784b8e1685381f20f
.b10125474,https://artresearch.net/resource/pharos/artwork/dbd763d65b8b31ac7806b85f1ea5ce485ad27765
.b10140633,https://artresearch.net/resource/pharos/artwork/1bc079d9fc6a9f494fbed75be855e39d14eff805
.b10125401,https://artresearch.net/resource/pharos/artwork/0800be2e54e9b6b6ba20894f8fa78ff8f8c977b3
.b10125255,https://artresearch.net/resource/pharos/artwork/0ea35863f8d939787f737948c3938123aabe36c1
.b10125395,https://artresearch.net/resource/pharos/artwork/1a4e7de931a56175a7605300867e0ac4cc4cd14f
.b10125425,https://artresearch.net/resource/pharos/artwork/5763656f718b45fd6a46face9342467c71e9a485
.b10125383,https://artresearch.net/resource/pharos/artwork/5f19bdf2bda2bd491a491c210239e406dc384ed9
.b10125450,https://artresearch.net/resource/pharos/artwork/771769bb397dff760d3492f6bfb099ca6de8514f
.b10125413,https://artresearch.net/resource/pharos/artwork/a1122273d187fb854938a975c52ca76cf728b971
.b10140529,https://artresearch.net/resource/pharos/artwork/0760a2945365721354e6af6287e7bed628e7d700
.b10125243,https://artresearch.net/resource/pharos/artwork/1b1c8a497b48011aff4478e1ee610edd0d1e5395
.b10125267,https://artresearch.net/resource/pharos/artwork/912a3fc34d66cb857a479da93bc98555c79e04e9
.b10141273,https://artresearch.net/resource/pharos/artwork/9bbbb36f8bf0c5a035e5bf50a300ccde8ded9914
.b1014111x,https://artresearch.net/resource/pharos/artwork/05f878e59a4c6e9bdc31aae8ecc49f8c1e4fdc58
.b10141248,https://artresearch.net/resource/pharos/artwork/65e4ecc98e038858e41f03ed1259ca2470a7953d
