photographer,institute,wikidata,rev,discuss,possible umbrella term,separate entity,scope note (separate entity),scope note (umbrella term),Note,entity type,uncertainty,collaboration,,,,Quick stats,,,,,
"Alinari, Florence,",frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,unique,,5487,,,
"Alinari, Fratelli",zeri,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,wikidata,12894,1729,6508,5877,14114
Alinari?,khi,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,Fratelli Alinari,,,,,,reviewed (matched and not),reconciled (minus ~5),to do,do not have match,
Ed. Alinari,frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,umbrella,354,3330,730,,
"Ed. Alinari, Florence",frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,,terms,separate entities,unique separate entities,,
"Ed. Alinari, Florence (ca. 1890)",frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,,,,,,
"Ed. Alinari, Florence (ca. 1900)",frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,,,,,,
"Ed. Alinari, Florence (ca. 1915-1920)",frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,,,,,,
"Ed. Alinari, Florence (ca. 1920-1930)",frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,,,,,,
"Ed. Alinari, Florence, 1897",frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,,,,,,
"Edizioni Alinari, Florence",frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,,,,,,
Fratelli Alinari (1854-),itatti,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,,,,,,
Fratelli Alinari (1854-) photographer,itatti,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,,,,,,
Fratelli Alinari (1854-)?,itatti,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,Fratelli Alinari,,,,,,,,,,
"Fratelli Alinari (Italian photography studio and publisher, 1854-1920)",itatti,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,,,,,,
"Fratelli Alinari, Florence",frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,,,,,,
"F.lll Alinari, Florence",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Fot. F.III Alinari,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Old Alinari,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alianri,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinary,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Venice",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Uffizi Drawing",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinari Supplement,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinari predella details,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, photographer",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinarin,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinari (Louvre),frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinarii,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Florende",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Florenceari",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Florence, 1933",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Florence, 1932",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinari Florence,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinari Facsimile,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinari facsimile,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinari ???,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinari (?),frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
alinari,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinard,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
alianri,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alianari,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Àlinari,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alinari photograph,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Florence photograph",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Florence photographer",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Florence, photograph",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Florence, photographer",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Flornece",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Rome",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Uffizi",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Allinari,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Alnari,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"unidentified photographic source, possibly Alinari",frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
unidentified photographic source (photo of Alinari photograph 9445),frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
Museo nazionale Alinari della fotografia,itatti,http://www.wikidata.org/entity/Q1075580,TRUE,TRUE,Alinari,Museo nazionale Alinari della fotografia,,,,institution,,,,,,,,,,,
"Stabilimento Fotomeccanico e Fotochimico (Founded in 1900 by Vittorio Alinari, Arturo Alinari, Giuseppe Alinari and Mario Nunes Vais.)",itatti,none,TRUE,TRUE,Alinari,Stabilimento Fotomeccanico e Fotochimico,,,,atelier,,,,,,,,,,,
"Alinari-Viollet, Paris",frick,http://www.wikidata.org/entity/Q3438622,FALSE,TRUE,Viollet,Alinari and Roger-Viollet,,,Not sure,atelier,,,,,,,,,,,
Anlinari,frick,http://www.wikidata.org/entity/Q644689,,,Alinari,Fratelli Alinari,,,,,,,,,,,,,,,
"Alinari, Reali",frick,http://www.wikidata.org/entity/Q644689,,,Alinari; Reali,Fratelli Alinari; Foto Reali,,,,,,,,,,,,,,,
Allegri Ugo Fotografia,zeri,none,TRUE,TRUE,Allegri,Allegri Ugo Fotografia,,,"FM: Giuseppe is the founder. He led the atelier 1851-?; Ugo from 1963 to 2002 MartaB: Giuseppe ran the studio until 1887, then it was taken over by Ignazio Allegri (1888-1906), followed by Cesare (1906-1962), who changed the studio's name several times. Later, Ugo took over in 1964, and the studio is still open today ",atelier,,,,,,,,,,,
"Allegri, Giuseppe",khi,none,TRUE,TRUE,Allegri,"Allegri, Giuseppe",,,,person,,,,,,,,,,,
"Studio Fotografia Allegri, photographer",itatti,none,TRUE,TRUE,Allegri,Studio Fotografia Allegri,,,,atelier,,,,,,,,,,,
"unidentified photographic source (courtesy of the American Antiquarian Society, Worcester, Massachusetts, 1938)",frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
"unidentified photographic source, courtesy of the American Antiquarian Society, Worcester, Massachusetts, May 24, 1938",frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
"unidentified photographic source, courtesy of the American Antiquarian Society, Worcester, May 24, 1938",frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
"unidentified photographic source (courtesy of the American Antiquarian Society, Worcester, May 24, 1938)",frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
"unidentified photographic source (courtesy of the American Antiquarian Society, Worcester, Massachusetts, May 24, 1938)",frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
"unidentified photographic source (courtesy of the American Antiquarian Society, Worcester, Massachusetts)",frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
"unidentified photographic source (courtesy of the American Antiquarian Society, May 24, 1938)",frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
"gift of the American Antiquarian Society, Worcester, May 1938",frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
American Antiquarian Society,frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
American Antiquarian Society photograph,frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
"American Antiquarian Society, Worcester photograph",frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
"American Antiquarian Society, Worcester, Massachusetts",frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
"American Antiquarian Society, Worcester, photograph",frick,http://www.wikidata.org/entity/Q4742987,,,American Antiquarian Society,American Antiquarian Society,,,,,,,,,,,,,,,
"Amoretti, Giovanni",khi,http://www.wikidata.org/entity/Q114878637,TRUE,,Amoretti,"Amoretti, Giovanni",,,"in wikidata: ONLY Giovanni Amoretti, Italian photographer (1934-2022), person",person,,,,,,,,,,,
"Amoretti, Giovanni",hertziana,http://www.wikidata.org/entity/Q114878637,TRUE,,Amoretti,"Amoretti, Giovanni",,,,person,,,,,,,,,,,
Foto Amoretti,zeri,none,TRUE,,Amoretti,Archivio Amoretti,,,,atelier,,,,,,,,,,,
"Anders?, Jörg P.",hertziana,http://www.wikidata.org/entity/Q98593,TRUE,,Anders,"Anders, Jörg P.",,,,,"Anders, Jörg P.",,,,,,,,,,
"Anderson, Domenico (1854-1938, Italian) photographer",itatti,http://www.wikidata.org/entity/Q3034711,TRUE,,Anderson,"Anderson, Rome",,,in wikidata: Domenico Anderson AND James Anderson AND Fotografia Anderson Rome,atelier,,,,,,,,,,,
"Anderson, Domenico (Italian photographer, 1854-1938)",itatti,http://www.wikidata.org/entity/Q3034711,TRUE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson, Domenico",hertziana,http://www.wikidata.org/entity/Q3034711,TRUE,,Anderson,"Anderson, Domenico",,,,person,,,,,,,,,,,
"Anderson, Domenico?",hertziana,http://www.wikidata.org/entity/Q3034711,TRUE,,Anderson,"Anderson, Domenico",,,,person,"Anderson, Domenico",,,,,,,,,,
"Anderson, Domenico",khi,http://www.wikidata.org/entity/Q3034711,TRUE,,Anderson,"Anderson, Domenico",,,,person,,,,,,,,,,,
"Anderson, Domenico?",khi,http://www.wikidata.org/entity/Q3034711,TRUE,,Anderson,"Anderson, Domenico",,,,person,"Anderson, Domenico",,,,,,,,,,
