photographer,institute,wikidata,rev,discuss,possible umbrella term,separate entity,scope note (separate entity),scope note (umbrella term),Note,entity type,uncertainty,collaboration,,,,Quick stats,,,,,
"Poensgen, Thomas",khi,none,TRUE,,Poensgen,"Poensgen, Thomas",,,,person,,,,,,,,,,,
"Polesel, Mario",khi,none,TRUE,,Polesel,"Polesel, Mario",,,,person,,,,,,,,,,,
"Fotoflash, Mario di Polesel",hertziana,none,TRUE,,Polesel,"Polesel, Mario",,,,,,,,,,,,,,,
"Polesel, Rodolfo",hertziana,none,TRUE,,Polesel,"Polesel, Rodolfo",,,,,,,,,,,,,,,
"Polesel, Rodolfo di",hertziana,none,TRUE,,Polesel,"Polesel, Rodolfo",,,,,,,,,,,,,,,
"Polozzi, Camillo",hertziana,none,TRUE,,Polozzi,"Polozzi, Camillo",,,,,,,,,,,,,,,
"Polozzi, Camillo",zeri,none,TRUE,,Polozzi,"Polozzi, Camillo",,,,person,,,,,,,,,,,
"Polozzi, Cesare",khi,none,TRUE,,Polozzi,"Polozzi, Cesare",,,,person,,,,,,,,,,,
"Polozzi, Cesare",hertziana,none,TRUE,,Polozzi,"Polozzi, Cesare",,,,,,,,,,,,,,,
"Polozzi, Giuseppe",zeri,none,TRUE,,Polozzi,"Polozzi, Giuseppe",,,,person,,,,,,,,,,,
"N. Portugal, Madrid",frick,http://www.wikidata.org/entity/Q99623889,TRUE,,Portugal,"Portugal, N. ",,,,person,,,,,,,,,,,
Portugal,zeri,http://www.wikidata.org/entity/Q99623889,TRUE,,Portugal,"Portugal, N. ",,,,,,,,,,,,,,,
Fotografia A. Premi,zeri,none,TRUE,,Premi,Fotografia A. Premi,,,,atelier,,,,,,,,,,,
"Premi, Andrea (Mantua)",khi,none,TRUE,,Premi,"Premi, Andrea",,,,person,,,,,,,,,,,
"Premi, Andrea (Italian photographer, active late 19th century)",itatti,none,FALSE,,Premi,"Premi, Andrea",,,,,,,,,,,,,,,
"Quast, ?",khi,none,TRUE,,Quast,Quast,,,,person,0,,,,,,,,,,
"Quast, Dieter",khi,none,TRUE,,Quast,"Quast, Dieter",,,,person,,,,,,,,,,,
"Quast, Matthias",khi,none,TRUE,,Quast,"Quast, Matthias",,,,person,,,,,,,,,,,
"Fine Art Photography by Nathan Rabin, New York",frick,none,TRUE,TRUE,Rabin,Fine Art Photography by Nathan Rabin,,,,atelier,,,,,,,,,,,
"Fine Art Photography, Nathan Rabin",frick,none,TRUE,TRUE,Rabin,Fine Art Photography by Nathan Rabin,,,,atelier,,,,,,,,,,,
"Fine Art Photography, Nathan Rabin, New York",frick,none,TRUE,TRUE,Rabin,Fine Art Photography by Nathan Rabin,,,,atelier,,,,,,,,,,,
"Fine Art Photography, New York",frick,none,TRUE,TRUE,Rabin,Fine Art Photography by Nathan Rabin,,,,atelier,,,,,,,,,,,
"Nathan Rabin, New York",frick,none,TRUE,TRUE,Rabin,"Rabin, Nathan",,,,person,,,,,,,,,,,
"Rabin, Nathan",zeri,,TRUE,TRUE,Rabin,"Rabin, Nathan",,,,person,,,,,,,,,,,
"Rampazzi, Ferruccio",zeri,none,TRUE,,Rampazzi,"Rampazzi, Ferruccio",,,,person,,,,,,,,,,,
"Rampazzi, Ferruccio",hertziana,none,TRUE,,Rampazzi,"Rampazzi, Ferruccio",,,,,,,,,,,,,,,
Laboratorio fotografico Rampazzi,hertziana,none,TRUE,,Rampazzi,"Rampazzi, Giustino",,,,,,,,,,,,,,,
Laboratorio Fotografico Rampazzi,hertziana,none,TRUE,,Rampazzi,"Rampazzi, Giustino",,,,,,,,,,,,,,,
"Laboratorio Fotografico Rampazzi, photographer",itatti,none,FALSE,,Rampazzi,"Rampazzi, Giustino",,,,,,,,,,,,,,,
"Rampazzi, Giustino",zeri,none,TRUE,,Rampazzi,"Rampazzi, Giustino",,,,person,,,,,,,,,,,
"Reale, Ettore",zeri,http://www.wikidata.org/entity/Q102281528,TRUE,,Reale,"Reale, Ettore",,,,person,,,,,,,,,,,
"Reale, Filippo",zeri,none,TRUE,,Reale,"Reale, Filippo",,,,person,,,,,,,,,,,
"Reale, Francesco",zeri,http://www.wikidata.org/entity/Q93935782,TRUE,,Reale,"Reale, Francesco",,,,person,,,,,,,,,,,
"unknown, photographer ; Foto Reali (active 1910-1970) photographer",itatti,none; none,FALSE,,Reali,anonymous; Foto Reali,,,,,,,,,,,,,,,
Foto Reali,zeri,none,TRUE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
Foto Reali (active 1910-1970),itatti,none,FALSE,,Reali,Foto Reali,,,,,,,,,,,,,,,
Foto Reali (active 1910-1970) ?,itatti,none,FALSE,,Reali,Foto Reali,,,,,Foto Reali,,,,,,,,,,
Foto Reali (active 1910-1970) photographer,itatti,none,FALSE,,Reali,Foto Reali,,,,,,,,,,,,,,,
Foto Reali (active 1910-1970) photographer ; Foto Reali (active 1910-1970) photographer,itatti,none,FALSE,,Reali,Foto Reali,,,,,,,,,,,,,,,
Foto Reali (active 1910-1970) photographer (?),itatti,none,FALSE,,Reali,Foto Reali,,,,,Foto Reali,,,,,,,,,,
Foto Reali (active 1910-1970) photographer (Attributed to),itatti,none,FALSE,,Reali,Foto Reali,,,,,,,,,,,,,,,
Foto Reali (active 1910-1970)?,itatti,none,FALSE,,Reali,Foto Reali,,,,,Foto Reali,,,,,,,,,,
Fotografia Reali,hertziana,none,TRUE,,Reali,Foto Reali,,,,,,,,,,,,,,,
Reali,khi,none,TRUE,,Reali,Reali,,,,atelier,,,,,,,,,,,
Reali?,khi,none,TRUE,,Reali,Reali,,,,atelier,0,,,,,,,,,,
"Reali, Luigi",khi,http://www.wikidata.org/entity/Q102282980,TRUE,,Reali,"Reali, Luigi",,,,person,,,,,,,,,,,
Reali,frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali (Frederick Hartt, December 10, 1948)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Foto Reali, Florence",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence, photographer",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
Reali photograph,frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (courtesy of Frederick Hartt, December 10, 1948)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (192)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Fotografia Reali, Florence",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"A. Reali, Florence",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Rome, photograph",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali (purchased through Dr. Offner, winter 1928)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali (purchased for FARL by Dr. Offner, winter 1928)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali photograph, Florence",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Photographer, Florence",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
Reali (Perkins),frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali (negative purchased from Frederick Hartt, December 10, 1948)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florentine",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (Richard Offner exchange, January 30, 1946)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (purchased for FARL by Richard Offner, 1928)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (purchased for FARL by Dr. Offner, winter 1928)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence, photographer (purchased for FARL by Richard Offner)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (photographed while at Luccerini's)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence, photograph",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florencem",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (exchange from R. Offner, February 3, 1945)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (536)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (381)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (359)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (348)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (333)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (332)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali, Florence (313)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
Reali Florence,frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Reali: Electa Foto, Florence",frick,none,FALSE,,Reali,Foto Reali; Electa,,,,atelier,,,,,,,,,,,
"Reali, Electa Foto, Florence",frick,none,FALSE,,Reali,Foto Reali; Electa,,,,atelier,,,,,,,,,,,
"Reali (courtesy of Mr. Meiss, 1929)",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
Reali (?),frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"possibly Reali, Florence",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,Reali,,,,,,,,,,
Foto Reali,frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Edizione Fotografia Reali, Florence",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
"Edizione-Fotografia Reali, Firenze",frick,none,FALSE,,Reali,Foto Reali,,,,atelier,,,,,,,,,,,
Reiffenstein,zeri,,TRUE,TRUE,Reiffenstein,Reiffenstein,,,,atelier,,,,,,,,,,,
"Reiffenstein, Bruno",khi,http://www.wikidata.org/entity/Q993689,TRUE,TRUE,Reiffenstein,"Reiffenstein, Bruno",,,Austrian photographer (1868-1951),person,,,,,,,,,,,
"Reiffenstein, Vienna",frick,,TRUE,TRUE,Reiffenstein,"Reiffenstein, Bruno",,,,atelier,,,,,,,,,,,
"Reiffenstein, Bruno (1868-1951, Austrian) photographer",itatti,,FALSE,TRUE,Reiffenstein,"Reiffenstein, Bruno",,,,,,,,,,,,,,,
Rettich (Nr.107/57),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.107/59),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.107/61),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.107/63),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.107/65),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.107/67),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.107/69),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.107/71),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/1),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/10),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/12),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/14),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/16),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/20),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/26),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/28),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/3),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/30),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/32),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/34),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/36),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/37),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/39),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/41),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/43),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/45),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/47),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/5),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/50),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/52),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/54),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/55),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/57),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/59),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/61),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/63),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/65),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/67),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/69),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/71),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/8),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.108/90),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/13),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/15),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/17),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/19),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/21),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/23),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/25),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/27),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/29),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/33 ?),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
Rettich (Nr.109/67),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/69),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/71),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.109/9),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/11),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/13),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/17),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/19),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/25),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/27),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/29),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/33),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/35),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/37),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/39),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/42),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/7),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.151/9),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/25),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/27),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/29),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/31),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/33),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/35),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/37),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/40),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/42),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/44),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/46),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/48),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/50),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/52),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/54),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/56),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/58),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/62),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/64),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/66),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/68),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/70),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/72),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.154/74),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.155/1),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.155/11),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.155/12),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.155/14),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.155/16),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.155/5),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.155/7),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.236/38),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.236/52),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.236/54),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.236/64),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.236/70),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.238/5),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.238/88),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.239/51),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.239/59),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.239/63),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.239/69),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.239/71),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.239/75),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.241/35),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.241/41),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.241/49),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
Rettich (Nr.241/53),marburg,none,FALSE,,Rettich,Foto Rettich,,,,,,,,,,,,,,,
"Rettich, ?",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.107/47)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.107/49)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.107/51)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.107/53 ?)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.108/22)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.108/24)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.109/11)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.109/35)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.109/39)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.109/45)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.109/49)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.109/51)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.110/29)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.110/31)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.110/33)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.110/35)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.138/28)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.138/29)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Rettich, ? (Nr.138/37)",marburg,none,FALSE,,Rettich,Foto Rettich,,,,,Foto Rettich,,,,,,,,,,
"Alicia Rhett, Charleston, photographer",frick,none,,,Rhett,"Rhett, Alicia ",,,,,,,,,,,,,,,
Foto Ricci,zeri,,TRUE,TRUE,Ricci,Foto Ricci,,,FM: our records refer to an atelier in Montecatini Terme (PT) active in c. 1988,atelier,,,,,,,,,,,
"Ricci, F. L.",hertziana,,TRUE,TRUE,Ricci,Ricci F.L.,,,,,,,,,,,,,,,
Richter,khi,none,TRUE,TRUE,Richter,Richter,,,,person,,,,,,,,,,,
"Richter, Ernesto",khi,http://www.wikidata.org/entity/Q83287025,FALSE,TRUE,Richter,"Richter, Ernesto",,,,person,,,,,,,,,,,
"Richter, E.",hertziana,,TRUE,TRUE,Richter,"Richter, Ernesto",,,,,,,,,,,,,,,
"Richter, Ernesto",hertziana,http://www.wikidata.org/entity/Q83287025,TRUE,TRUE,Richter,"Richter, Ernesto",,,,,,,,,,,,,,,
"Richter, ?",marburg,,FALSE,TRUE,Richter,,,,,,0,,,,,,,,,,
"Rigamonti, F.",zeri,,TRUE,TRUE,Rigamonti,"Rigamonti, F.",,,"FM: Roma, via degli Zingari, 45 (active 1968-1972). A different atelier than Rigamonti Eugenio",atelier,,,,,,,,,,,
"Rigamonti, F.",hertziana,,TRUE,TRUE,Rigamonti,"Rigamonti, F.",,,,,,,,,,,,,,,
"Foto F. Rigamonti (Firm), photographer",itatti,,FALSE,TRUE,Rigamonti,,,,,,,,,,,,,,,,
Rigamonti,hertziana,,TRUE,TRUE,Rigamonti,Rigamonti,,,,,,,,,,,,,,,
"Rigamonti, ?",hertziana,,TRUE,TRUE,Rigamonti,Rigamonti,,,,,0,,,,,,,,,,
Rigamonti?,hertziana,,TRUE,TRUE,Rigamonti,Rigamonti,,,,,0,,,,,,,,,,
