count,name,date,type,loc,viaf,ulan,source,wikidata,gnd
53,"Cranach, Lucas",1515-1586,person,http://id.loc.gov/authorities/names/n50020861,http://viaf.org/viaf/49268177,http://vocab.getty.edu/ulan/500115364,data,http://www.wikidata.org/entity/Q191748,https://d-nb.info/gnd/118522582
53,Girolamo di Benvenuto,1470-1524,person,http://id.loc.gov/authorities/names/nr91029255,http://viaf.org/viaf/8278763,http://vocab.getty.edu/ulan/500025858,data,http://www.wikidata.org/entity/Q1334726,https://d-nb.info/gnd/122826450
53,"Chambers, Thomas",1808-1869,person,http://id.loc.gov/authorities/names/nr92021693,http://viaf.org/viaf/49091781,http://vocab.getty.edu/ulan/500023474,data,http://www.wikidata.org/entity/Q18508680,https://d-nb.info/gnd/136772781
53,"Brown, John George",1831-1913,person,http://id.loc.gov/authorities/names/n86022536,http://viaf.org/viaf/28546555,http://vocab.getty.edu/ulan/500000315,data,http://www.wikidata.org/entity/Q2919973,https://d-nb.info/gnd/1038066123
53,"Waugh, Samuel Bell",,person,http://id.loc.gov/authorities/names/no2005002657,http://viaf.org/viaf/2191054,,data,http://www.wikidata.org/entity/Q3946658,
53,Spagna,approximately 1450-1528,person,http://id.loc.gov/authorities/names/n86048206,http://viaf.org/viaf/89036648,http://vocab.getty.edu/ulan/500004244,data,http://www.wikidata.org/entity/Q1446925,https://d-nb.info/gnd/119053357
53,"Cox, Kenyon",1856-1919,person,http://id.loc.gov/authorities/names/n80022985,http://viaf.org/viaf/69077104,http://vocab.getty.edu/ulan/500015454,data,http://www.wikidata.org/entity/Q933739,https://d-nb.info/gnd/119381699
53,"Dobson, William",1611-1646,person,http://id.loc.gov/authorities/names/n86048182,http://viaf.org/viaf/6410027,http://vocab.getty.edu/ulan/500023117,data,http://www.wikidata.org/entity/Q58303,https://d-nb.info/gnd/138965315
53,"Duncanson, Robert S",1821-1872,person,http://id.loc.gov/authorities/names/n81052386,http://viaf.org/viaf/20487869,http://vocab.getty.edu/ulan/500019769,data,http://www.wikidata.org/entity/Q2699889,https://d-nb.info/gnd/11930256X
53,"Bellini, Iacopo",approximately 1400-approximately 1470,person,http://id.loc.gov/authorities/names/n84038157,http://viaf.org/viaf/54420149,http://vocab.getty.edu/ulan/500115627,data,http://www.wikidata.org/entity/Q313310,https://d-nb.info/gnd/118658050
53,"Licinio, Bernardino",approximately 1489-approximately 1565,person,http://id.loc.gov/authorities/names/no2019008763,http://viaf.org/viaf/67533645,http://vocab.getty.edu/ulan/500018969,data and vocab,http://www.wikidata.org/entity/Q2629038,https://d-nb.info/gnd/129005681
53,"Manuel, Niklaus",1484?-1530,person,http://id.loc.gov/authorities/names/nr91003610,http://viaf.org/viaf/19722427,http://vocab.getty.edu/ulan/500012934,data,http://www.wikidata.org/entity/Q670805,https://d-nb.info/gnd/118577379
53,"Edridge, Henry",1769-1821,person,http://id.loc.gov/authorities/names/nr89016571,http://viaf.org/viaf/33149994,http://vocab.getty.edu/ulan/500017407,data,http://www.wikidata.org/entity/Q4529914,https://d-nb.info/gnd/132091062
53,"Roybet, Ferdinand Victor Léon",1840-1920,person,http://id.loc.gov/authorities/names/nr92035179,http://viaf.org/viaf/27852453,http://vocab.getty.edu/ulan/500021253,data,http://www.wikidata.org/entity/Q3068651,https://d-nb.info/gnd/117598143
52,Bartolomeo,-1501,person,http://id.loc.gov/authorities/names/n85042709,http://viaf.org/viaf/89128949,http://vocab.getty.edu/ulan/500115575,data,http://www.wikidata.org/entity/Q7780,https://d-nb.info/gnd/118968580
52,Luca,1330?-1389,person,http://id.loc.gov/authorities/names/n83190560,http://viaf.org/viaf/47587287,http://vocab.getty.edu/ulan/500003597,data,http://www.wikidata.org/entity/Q1857438,https://d-nb.info/gnd/120235978
52,"Straet, Jan van der",1523-1605,person,http://id.loc.gov/authorities/names/n84804240,http://viaf.org/viaf/29699451,http://vocab.getty.edu/ulan/500011304,data,http://www.wikidata.org/entity/Q143595,https://d-nb.info/gnd/118755730
52,Neroccio de' Landi,1447-1500,person,http://id.loc.gov/authorities/names/nr91029149,http://viaf.org/viaf/95726103,http://vocab.getty.edu/ulan/500007415,data,http://www.wikidata.org/entity/Q1398270,https://d-nb.info/gnd/123370418
52,"Dance, Nathaniel",1735-1811,person,http://id.loc.gov/authorities/names/no99048395,http://viaf.org/viaf/19885699,http://vocab.getty.edu/ulan/500115546,data,http://www.wikidata.org/entity/Q3336784,https://d-nb.info/gnd/130170534
52,Niccolò,approximately 1430-1502,person,http://id.loc.gov/authorities/names/nr94040146,http://viaf.org/viaf/24872726,http://vocab.getty.edu/ulan/500004204,data,http://www.wikidata.org/entity/Q970559,https://d-nb.info/gnd/129222976
52,"Shee, Martin Archer",1769-1850,person,http://id.loc.gov/authorities/names/n83053657,http://viaf.org/viaf/3372363,http://vocab.getty.edu/ulan/500016737,data,http://www.wikidata.org/entity/Q3850027,https://d-nb.info/gnd/123151333
52,"Berckheyde, Gerrit Adriaensz",1638-1698,person,http://id.loc.gov/authorities/names/n92076254,http://viaf.org/viaf/2742667,http://vocab.getty.edu/ulan/500010225,data,http://www.wikidata.org/entity/Q576025,https://d-nb.info/gnd/128406585
52,"Eworth, Hans",active 1540-1574,person,http://id.loc.gov/authorities/names/nr93015710,http://viaf.org/viaf/316438872,http://vocab.getty.edu/ulan/500019776,data,http://www.wikidata.org/entity/Q2468731,https://d-nb.info/gnd/137479557
52,"Jouve, Paul",1878-1973,person,http://id.loc.gov/authorities/names/nr94035094,http://viaf.org/viaf/27324680,http://vocab.getty.edu/ulan/500010621,data,http://www.wikidata.org/entity/Q2060503,https://d-nb.info/gnd/117200247
52,"Restout, Jean",1692-1768,person,http://id.loc.gov/authorities/names/nr91031256,http://viaf.org/viaf/14869602,http://vocab.getty.edu/ulan/500016479,data,http://www.wikidata.org/entity/Q730755,https://d-nb.info/gnd/118788442
52,"Lemordant, Jean Julien",1878-1968,person,http://id.loc.gov/authorities/names/nr2007005019,http://viaf.org/viaf/7355767,http://vocab.getty.edu/ulan/500008941,data,http://www.wikidata.org/entity/Q3166574,
52,"Fuseli, Henry",1741-1825,person,http://id.loc.gov/authorities/names/n79021856,http://viaf.org/viaf/53061,http://vocab.getty.edu/ulan/500115235,data,http://www.wikidata.org/entity/Q122382,https://d-nb.info/gnd/118536745
52,"Robert, Paul",1851-1923,person,http://id.loc.gov/authorities/names/nr95024925,http://viaf.org/viaf/46832257,http://vocab.getty.edu/ulan/500032870,data,http://www.wikidata.org/entity/Q16334540,https://d-nb.info/gnd/123960231
52,Bartolomeo Veneto,-1531,person,http://id.loc.gov/authorities/names/nr98009531,http://viaf.org/viaf/95732757,http://vocab.getty.edu/ulan/500008467,data,http://www.wikidata.org/entity/Q809520,https://d-nb.info/gnd/120647257
52,"Lorenzetti, Pietro",active 1320-1348,person,http://id.loc.gov/authorities/names/n86142480,http://viaf.org/viaf/172313064,http://vocab.getty.edu/ulan/500030946,data and vocab,http://www.wikidata.org/entity/Q309635,https://d-nb.info/gnd/118729063
